纳税人编号,销售类型,销售模式,汽车销售平均毛利,维修毛利,企业维修收入占销售收入比重,增值税税负,存货周转率,成本费用利润率,整体理论税负,整体税负控制数,办牌率,单台办牌手续费收入,代办保险率,保费返还率,输出
1,国产轿车,4S店,0.0635,0.3241,0.0879,0.0084,8.5241,0.0018,0.0166,0.0147,0.4,0.02,0.7155,0.15,正常
2,国产轿车,4S店,0.052,0.2577,0.1394,0.0298,5.2782,-0.0013,0.0032,0.0137,0.3307,0.02,0.2697,0.1367,正常
3,国产轿车,4S店,0.0173,0.1965,0.1025,0.0067,19.8356,0.0014,0.008,0.0061,0.2256,0.02,0.2445,0.1301,正常
4,国产轿车,一级代理商,0.0501,0,0,0,1.0673,-0.3596,-0.1673,0,0,0,0,0,异常
5,进口轿车,4S店,0.0564,0.0034,0.0066,0.0017,12.847,-0.0014,0.0123,0.0095,0.0039,0.08,0.0117,0.1872,正常
6,进口轿车,4S店,0.0484,0.6814,0.0064,0.0031,15.2445,0.0012,0.0063,0.0089,0.1837,0.04,0.0942,0.27,正常
7,进口轿车,4S店,0.052,0.3868,0.0348,0.0054,16.8715,0.0054,0.0103,0.0108,0.2456,0.05,0.5684,0.1401,正常
8,大客车,一级代理商,-1.0646,0,0,0.077,2,-0.2905,-0.181,0,0,0,0,0,异常
9,国产轿车,二级及二级以下代理商,0.0341,-1.2062,0.0025,0.007,9.6142,-0.1295,0.0413,0.0053,0.7485,0.07,0.307,0.0356,异常
10,国产轿车,二级及二级以下代理商,0.0312,0.2364,0.0406,0.0081,21.3944,0.0092,0.0112,0.0067,0.6621,0.06,0.3379,0.1306,正常
11,国产轿车,4S店,0.0489,0.4763,0.0851,0,10.9974,0.2156,0.0136,0.0145,0,0,0,0,正常
12,国产轿车,4S店,0.0638,0.457,0.1521,0.0175,3.5134,0.1022,0.0239,0.021,0,0,0,0,正常
13,国产轿车,4S店,0.025,0.5117,0.0332,0.0107,18.3744,0.5642,0.0071,0.007,0,0,0,0,正常
14,国产轿车,4S店,0.0354,0.3237,0.0505,0,8.1862,-0.0001,0.0002,0.0085,0,0,0,0,正常
15,国产轿车,4S店,0.0204,0.4578,0.0568,0,9.8039,0.0002,0.0046,0.0077,0,0,0,0,正常
16,国产轿车,4S店,0.0578,0.4547,0.0677,0.015,11.4036,0.0014,0.0118,0.0144,0,0,0,0,正常
17,国产轿车,4S店,0.0614,0.5868,0.008,0.003,11.9058,0,0.0184,0.0112,0,0,0,0,正常
18,国产轿车,4S店,0.0546,0.4269,0.042,0.0055,6.4187,1.094,-0.0044,0.0119,0,0,0,0,正常
19,国产轿车,4S店,0.0323,0.4132,0.0352,0.0047,11.0045,1.2121,0.0188,0.0078,0,0,0,0,正常
20,国产轿车,4S店,0.0587,0.3284,0.0212,0,21.3226,1.5312,0.012,0.011,0,0,0,0,异常
21,国产轿车,4S店,0.044,0.4071,0.0181,0.0079,18.4517,0.9134,0.0258,0.0086,0.8775,0.15,0,0,异常
22,国产轿车,4S店,0.0555,0,0,0.0056,22.4516,0.9252,0.0087,0,0.7137,0.09,0,0,异常
23,国产轿车,其它,0.006,0,0,0,0,0.006,0.0009,0,0,0,0,0,异常
24,国产轿车,其它,0.0185,0,0,0.004,0,0.0185,0.004,0,0,0,0,0,正常
25,大客车,一级代理商,0.0115,0,0,0.0028,47.6128,0.0004,0.0042,0,0,0,0,0,异常
26,大客车,一级代理商,0.0091,0,0,0.0028,40.0488,0.0004,-0.0012,0,0,0,0,0,异常
27,大客车,一级代理商,0.0115,0,0,0.0027,48.383,0.0003,0.0053,0,0,0,0,0,异常
