'Time','Province','City','Confirmed','Dead','Cured','Severe','Critical'
2020-02-15,安徽省,合肥,169,0,0,0,0
2020-02-15,安徽省,蚌埠,157,0,0,0,0
2020-02-15,安徽省,阜阳,152,0,0,0,0
2020-02-15,安徽省,亳州,108,0,0,0,0
2020-02-15,安徽省,安庆,82,0,0,0,0
2020-02-15,安徽省,六安,65,0,0,0,0
2020-02-15,安徽省,宿州,39,0,0,0,0
2020-02-15,安徽省,马鞍山,36,0,0,0,0
2020-02-15,安徽省,芜湖,31,0,0,0,0
2020-02-15,安徽省,铜陵,28,0,0,0,0
2020-02-15,安徽省,淮北,26,0,0,0,0
2020-02-15,安徽省,淮南,24,0,0,0,0
2020-02-15,安徽省,池州,17,0,0,0,0
2020-02-15,安徽省,滁州,13,0,0,0,0
2020-02-15,安徽省,黄山,9,0,0,0,0
2020-02-15,安徽省,宣城,6,0,0,0,0
2020-02-15,澳门,澳门,10,0,0,0,0
2020-02-15,北京市,东城,12,0,0,0,0
2020-02-15,北京市,西城,46,0,0,0,0
2020-02-15,北京市,朝阳,58,0,0,0,0
2020-02-15,北京市,海淀,60,0,0,0,0
2020-02-15,北京市,丰台,39,0,0,0,0
2020-02-15,北京市,石景山,14,0,0,0,0
2020-02-15,北京市,门头沟,3,0,0,0,0
2020-02-15,北京市,房山,15,0,0,0,0
2020-02-15,北京市,通州,18,0,0,0,0
2020-02-15,北京市,顺义,10,0,0,0,0
2020-02-15,北京市,昌平,25,0,0,0,0
2020-02-15,北京市,大兴,39,0,0,0,0
2020-02-15,北京市,怀柔,7,0,0,0,0
2020-02-15,北京市,密云,7,0,0,0,0
2020-02-15,北京市,延庆,1,0,0,0,0
2020-02-15,广东省,深圳,414,0,0,0,0
2020-02-15,广东省,广州,338,0,0,0,0
2020-02-15,广东省,珠海,96,0,0,0,0
2020-02-15,广东省,东莞,89,0,0,0,0
2020-02-15,广东省,佛山,84,0,0,0,0
2020-02-15,广东省,中山,65,0,0,0,0
2020-02-15,广东省,惠州,58,0,0,0,0
2020-02-15,广东省,汕头,25,0,0,0,0
2020-02-15,广东省,江门,23,0,0,0,0
2020-02-15,广东省,湛江,22,0,0,0,0
2020-02-15,广东省,肇庆,17,0,0,0,0
2020-02-15,广东省,梅州,16,0,0,0,0
2020-02-15,广东省,阳江,13,0,0,0,0
2020-02-15,广东省,茂名,13,0,0,0,0
2020-02-15,广东省,清远,12,0,0,0,0
2020-02-15,广东省,韶关,10,0,0,0,0
2020-02-15,广东省,揭阳,8,0,0,0,0
2020-02-15,广东省,汕尾,5,0,0,0,0
2020-02-15,广东省,潮州,5,0,0,0,0
2020-02-15,广东省,河源,3,0,0,0,0
2020-02-15,广西,南宁,50,0,0,0,0
2020-02-15,广西,柳州,24,0,0,0,0
2020-02-15,广西,桂林,31,0,0,0,0
2020-02-15,广西,梧州,5,0,0,0,0
2020-02-15,广西,北海,43,0,0,0,0
2020-02-15,广西,防城港,18,0,0,0,0
2020-02-15,广西,钦州,8,0,0,0,0
2020-02-15,广西,贵港,8,0,0,0,0
2020-02-15,广西,玉林,10,0,0,0,0
