area,2017,2016,2015,2014,2013,2012,2011,2010,2009
北京市,15.15,16.62,16.6,17,16.37,17.41,17.32,13.8,18.18
天津市,9.51,9.82,10.12,9.94,10.26,10.14,10.41,8.7,10.4
河北省,50.49,55.19,60.94,66.13,74.08,74.53,77.72,75,72
山西省,28.77,30.01,34.68,35.07,38.4,36.28,33.96,36.1,34.36
内蒙古自治区,18.7,19.84,21.79,21.68,22.16,20.77,21.53,20.3,18.84
辽宁省,29.19,31.26,31.7,34.51,36.96,37.29,37.26,32.2,38.17
吉林省,20.63,22.15,23.45,23.52,25.41,22.98,23.82,22.3,23.91
黑龙江省,28.67,30.63,31.82,35.23,37.66,34.56,33.27,30.9,30.39
上海市,10.87,12.52,14.18,14.19,14.95,14.42,14.89,13,14.99
江苏省,67.55,71.61,78.6,83.45,90.38,88.76,86.75,75.9,73.09
浙江省,34.44,36.68,39.25,43.68,42.22,44.2,44.09,43.2,42.76
安徽省,67.38,71.34,73.91,79.89,80.56,76.49,71.14,65.2,61
福建省,29.14,31.46,34.94,37.53,39.59,38.19,38.28,38.2,36.06
江西省,28.91,30.2,30.62,37.12,39.37,42.11,37.3,36.1,40.81
山东省,62.58,67.07,70.1,83.18,89.14,93.33,96.91,92.5,91.84
河南省,86.97,96.9,109.44,117.58,126.24,119.13,106.31,101.4,85.88
湖北省,47.21,51.38,57.3,62.19,64.58,61.59,62.69,57.1,56.54
湖南省,45.77,49.94,54.27,62.2,62.06,64.38,65.87,63.5,65.29
广东省,75.81,78.61,84.04,89.15,87.47,87.07,86.36,85.7,86.45
广西壮族自治区,37.94,39.4,42.13,47.23,47.19,49.17,49.33,52.7,51.56
海南省,7.58,7.83,8.31,9,9.12,9.94,11.52,11.3,13
重庆市,26.6,27.85,29.26,30.45,30.31,29.85,30.48,31.3,30.11
四川省,68.95,72.71,74.15,77.42,77.68,74.83,74.98,71.5,71
贵州省,40.36,45.32,49.26,43.72,42.98,41.78,37.34,37.5,30.79
云南省,40.28,44.61,45.82,46.48,45.21,41.95,39.07,40.2,34.29
西藏自治区,3.41,3.01,1.54,1.96,1.16,1.39,1.36,1.3,1.36
陕西省,30.06,33.24,35.6,38.12,39.57,37.36,36.93,34.7,31.94
甘肃省,19.79,21.91,22.03,20.18,18.65,16.75,16.91,14.2,12.24
青海省,5.97,6.12,5.11,5.4,4.75,4.57,4.17,3,2.97
宁夏回族自治区,6.03,6.2,6.09,5.6,6.38,6.07,6.15,6,5.66
新疆维吾尔自治区,18.39,21.41,27.66,27.92,26.07,26.29,28.23,26.4,26.55
