	ID	类别	代号	商户名称	名称	logo	简介	联系人	电话	TG	whatsapp	邮箱	SKYPE	QQ	微信	详情	图片上传	链接	对接文档（下载）	地址	标签（later）	来源	操作人	录入日期
0	MI00001	支付	YSF	-1.0	银闪付	-1.0	凤凰旗下支付公司，主要提供代付业务	南姐	639281785888	639281785888	-1.0	-1	-1	-1	-1	提供稳定安全的第三方代付渠道，资金包赔30万，费率面谈	-1.0	-1	-1.0	-1.0	-1.0	-1	-1	-1
1	-1	包网	TXWL	-1.0	天下网络	-1.0	极速包网，AG官方合作伙伴	-1	66838715999	66838715999	-1.0	txkj8899@gmail.com	66838715999	751199999	-1	业精于专，功成于勤！ 天下网络（World Network），专业平台系统提供商、支付快充系统及API游戏供应商。 我司秉承诚信、专业、勤奋、责任的企业文化，坚持技术创新、稳健务实，300+技术开发工程师致力于产品的创新与提升，协助客户从品牌价值出发，立足网络，将产品定位于国际市场，同时接入全球众多知名品牌博娱产品，为客户提供高效、稳定的平台系统和游戏产品。 我们拥有最专业的技术团队为您保驾护航，让您在运营中体验到专业、稳定的天下管理系统及高效、贴心的售后服务。	-1.0	https://txwl.com/index.html	-1.0	-1.0	-1.0	博牛	Joshua	06/15/2019
2	-1	游戏	TXQP	-1.0	天下棋牌	-1.0	自主创新研发，纯原声APP，天下棋牌API	-1	66838715999	66838715999	-1.0	txkj8899@gmail.com	66838715999	751199999	-1	独特风格，与众不同。 天下网络全力打造最热门万人同时在线棋牌游戏产品，自主创新研发“天下棋牌” 纯原生APP以及天下棋牌API成功问世。 最具天下风格色彩的视觉效果，形象生动流畅画面，专业贴心的按键设计，全新棋牌游戏涵盖火热游戏榜单《极速抢庄牛牛》《百人大战》《德州扑克》《斗地主》《诈金花》《二八杠》《大型欢乐捕鱼》《街机电竞》等。	-1.0	https://txwl.com/index.html	-1.0	-1.0	-1.0	博牛	Joshua	06/17/2019
3	-1	包网	SC	-1.0	世彩	-1.0	业界第一家为平台定制全原生手机APP的系统商	Alvin	6582855294	-1	6582855294.0	Xiang9983@gw.world	Xiang9983@gw.world	5616708	-1	累积10年以上丰富开发经验的优质团队，提供最完善的全原生游戏给所有的营运商，跨平台、跨装置的优质游戏内容。	-1.0	https://gw.world/?a3	-1.0	-1.0	-1.0	Page	Joshua	06/17/2019
4	-1	支付	DS	-1.0	鼎盛卡行	-1.0	安全用卡，快速售后，质量保证	-1	-1	-1	-1.0	-1	-1	1927888888	-1	-1	-1.0	-1	-1.0	-1.0	-1.0	博牛	Joshua	06/17/2019
5	-1	包网	HTYL	-1.0	宏图娱乐	-1.0	顶尖包网，因智慧而不同	-1	-1	-1	639566225566.0	-1	hongtubet	-1	-1	与您共同创造最大价值是宏图娱乐不懈努力的目标，宏图娱乐开展的合作伙伴计划，是为满足不同客户的不同合作需求，有针对性的给予提供资源和支撑，如培训、认证、测试环境、营销和销售支撑、奖励等，确保您与我们一起实现价值。	-1.0	https://hongtu666.com/	-1.0	-1.0	-1.0	博牛	Joshua	06/17/2019
6	-1	包网	AP	-1.0	Advantage Play	-1.0	永久1%，亚太地区最全面包网	乔安	-1	-1	-1.0	sales@apgames.com	apasia.sales	960486	-1	Advantage Play以丰沛的研发里，专业的服务里，全面的策划力，为您开创新局，提升规模，整合策略，建立品牌，与我们合作将在商场上持续获利，高枕无忧	-1.0	http://ap1.apgames.com/	-1.0	-1.0	-1.0	博牛	Joshua	06/17/2019
7	-1	游戏	HLQP	-1.0	欢乐棋牌	-1.0	全网玩家粘合度最高的棋牌API	-1	639663399966	-1	639663399966.0	hlqp888@gmail.com	hlqp666	-1	-1	欢乐棋牌来自台湾，是一家专注于互动竞技和社交娱乐产品研发和创新的公司。欢乐棋牌以“让欢乐与众不同”为宗旨，不断创造快乐、刺激、新颖、公平的娱乐体验。所有的游戏产品都是自主研发，目前已上线数十款游戏。欢乐棋牌坚持“腾讯风格，极易上手”的产品路线，以精美的UI和人性化的交互深得用户喜爱，成为“全网玩家粘合度最高的棋牌API”，日活跃玩家10万以上。欢乐棋牌拥有丰富的互联网业务管理经验，借助业务运营支撑系统为商户平台和站点提供精细化、全方位的管理，实时监控游戏数据，快速提升站点盈利空间。欢乐棋牌采用BAT级的服务器集群。多地CDN服务节点，保障玩家访问实时、快捷、稳定、顺畅；多种分布和集群体系，保障高并发访问请求，游戏不卡顿；多机房、多服务均有灾备系统，最大限度地保障系统可用性；7×24在线技术支持，保障系统稳定运行。欢乐棋牌采取全方位的措施保障系统安全。强大的反作弊机制，维护游戏的公平性；前后端交互采用WSS、HTTPS，保障数据安全；使用多重加密方式，保证数据不被盗取和篡改；严格监控玩家金币变化，防止套现和刷币。未来，欢乐棋牌会研发更多的精美棋牌产品，为玩家奉上无时无刻的360°全景畅快的游戏体验；“集团实力，信誉至上”，欢乐棋牌致力于成为商户平台棋牌游戏的最佳选择。	-1.0	https://huanlegame.com/introduction.html	-1.0	-1.0	-1.0	博牛	Joshua	06/17/2019
8	-1	包网	DSG	-1.0	东森	-1.0	综合现金包网，一键上线，极速开展业务	Lee	639173238955	639173238955	-1.0	kjgro342019@gmail.com	6.39173E+11	-1	KJGRO342019	-1	-1.0	https://www.dongsengroup.net/	-1.0	-1.0	-1.0	博牛	Joshua	06/17/2019
9	-1	包网	XYQP	-1.0	轩辕棋牌	-1.0	全球首发原生综合性棋牌包网，三段互联	-1	639165657567	-1	639165657567.0	xuanyuan0333@gmail.com	XYGames	-1	-1	-1	-1.0	https://www.xy227.com/	-1.0	-1.0	-1.0	博牛	Joshua	06/17/2019
