学校招生代码,学校名称,专业招生代码,专业名称,计划,语种,学制,学费
 	0001 ,	安徽财经大学 (蚌埠)  理工——普通类本科批 ,	01,财政学类(财政学、税收学)(包含财政学、税收学专业),3,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  理工——普通类本科批 ,10,经济与贸易类(国际经济与贸易、贸易经济)(包含贸易经济、国际经济与贸易专业),4,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  理工——普通类本科批 ,14,会计学(按照专业招生),5,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  理工——普通类本科批 ,17,金融学类(金融工程、保险学、投资学、互联网金融)(包含金融工程、投资学、保险学、互联网金融专业),2,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  理工——普通类本科批 ,18,金融学(按照专业招生),3,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  理工——普通类本科批 ,19,经济学类(经济学、国民经济管理)(包含经济学、国民经济管理专业),2,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  理工——普通类本科批 ,20,经济统计学(按照专业招生),2,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  理工——普通类本科批 ,21,统计学类(统计学、应用统计学)(包含统计学、应用统计学专业),2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	02,数学类(数学与应用数学、信息与计算科学、统计学)（磬苑校区）,3,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	03,材料物理（磬苑校区）,3,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	04,物理学类(应用物理学、光电信息科学与工程)（磬苑校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	06,材料类(化学、应用化学、高分子材料与工程、材料化学、新能源材料与器件)（磬苑校区）,3,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	07,生物科学类(生物科学、食品科学与工程、生物工程、生物制药)（磬苑校区）,3,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	09,计算机类(信息安全、计算机科学与技术、软件工程)（磬苑校区）,3,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	0A,电子信息工程（磬苑校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	0B,电子信息类(电子科学与技术、通信工程、微电子科学与工程)（磬苑校区）,5,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	0C,机械设计制造及其自动化（磬苑校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	0D,自动化类(自动化、电气工程及其自动化、测控技术与仪器)（磬苑校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	0E,环境科学与工程类(环境科学、地质学、测绘工程、地理信息科学、生态学)（磬苑校区）,3,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,	0L,经济统计学（磬苑校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  理工——普通类本科批 ,17,网络工程(代表专业类，包含4个专业，具体见招生章程)（龙河校区）,4,不限,4,待定
 	0003 ,	安徽工程大学 (芜湖)  理工——普通类本科批 ,	09,自动化,2,不限,4,待定
 	0003 ,	安徽工程大学 (芜湖)  理工——普通类本科批 ,25,高分子材料与工程,2,不限,4,待定
 	0003 ,	安徽工程大学 (芜湖)  理工——普通类本科批 ,32,数据科学与大数据技术,2,不限,4,待定
