学校招生代码,学校名称,专业招生代码,专业名称,计划,语种,学制,学费
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,	01,财政学类(财政学、税收学)(包含财政学、税收学专业),1,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,10,经济与贸易类(国际经济与贸易、贸易经济)(包含贸易经济、国际经济与贸易专业),1,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,14,会计学(按照专业招生),2,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,17,金融学类(金融工程、保险学、投资学、互联网金融)(包含金融工程、投资学、保险学、互联网金融专业),1,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,18,金融学(按照专业招生),1,不限,4,待定
 	0001 ,	安徽财经大学 (蚌埠)  文史——普通类本科批 ,19,经济学类(经济学、国民经济管理)(包含经济学、国民经济管理专业),1,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0F,中国语言文学类(汉语言文学、汉语国际教育)（龙河校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0H,哲学类(哲学、应用心理学)（龙河校区）,3,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0N,会计学（磬苑校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0P,工商管理类(工商管理、财务管理、市场营销、人力资源管理、电子商务、物流管理、旅游管理、人文地理与城乡规划)（磬苑校区）,3,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0W,法学类(法学、知识产权)（磬苑校区）,2,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0X,管理科学与工程类(信息管理与信息系统、行政管理、劳动与社会保障、管理科学、图书馆学、档案学)（龙河校区）,4,不限,4,待定
 	0002 ,	安徽大学 (合肥)  文史——普通类本科批 ,	0Y,政治学类(社会学、社会工作、国际事务与国际关系、政治学与行政学)（磬苑校区）,2,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  文史——普通类本科批 ,N1,财务管理,1,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  文史——普通类本科批 ,NA,经济学,1,不限,4,待定
 	0005 ,	安徽工业大学 (马鞍山)  文史——普通类本科批 ,NC,人力资源管理,2,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  文史——普通类本科批 ,1U,会计学,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  文史——普通类本科批 ,1V,财务管理,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  文史——普通类本科批 ,1W,资产评估,1,不限,4,待定
 	0006 ,	安徽建筑大学 (合肥)  文史——普通类本科批 ,21,劳动与社会保障,1,不限,4,待定
 	0010 ,	安徽农业大学 (合肥)  文史——普通类本科批 ,44,社会工作,2,不限,4,3850
 	0010 ,	安徽农业大学 (合肥)  文史——普通类本科批 ,45,汉语言文学,1,不限,4,3850
 	0010 ,	安徽农业大学 (合肥)  文史——普通类本科批 ,77,茶学(茶文化与贸易方向),1,不限,4,4290
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,	06,思想政治教育(师范类),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,	08,行政管理,2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,	0Y,俄语,2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,2R,经济学类(经济学、投资学),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,2S,工商管理类(会计学、财务管理、物流管理、人力资源管理),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,2W,新闻传播学类(新闻学、广告学、网络与新媒体),2,不限,4,待定
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 , 	0013 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,	2 , , , 
 	0012 ,	安徽师范大学 (芜湖)  文史——普通类本科批 ,	0Z,外国语言文学类(中外合作办学)(俄语)(具体事宜见学校招生网),2,不限,4,10000
 	0020 ,	安康学院 (陕西)  文史——普通类本科批 ,	02,思想政治教育,2,不限,4,3500
 	0021 ,	安庆师范大学 (安徽)  文史——普通类本科批 ,	0R,国际经济与贸易,5,不限,4,待定
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	01,汉语言文学(师范类),45,不限,4,3500
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	02,汉语国际教育,14,不限,4,3500
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	03,新闻学,14,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	04,网络与新媒体,14,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	05,思想政治教育(师范类),12,不限,4,3500
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	06,历史学(师范类),12,不限,4,3500
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	07,行政管理,12,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	08,社会工作,14,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,	09,英语(一年后分流为英语（师范），英语，商务英语),68,英语,4,4800
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,10,日语,18,英日,4,4800
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,11,会计学,10,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,12,旅游管理,11,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,13,酒店管理,37,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,14,市场营销,7,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,15,图书馆学,13,不限,4,4200
 	0026 ,	鞍山师范学院  文史——普通类本科批 ,16,学前教育(师范类),34,不限,4,3500
 	0022 ,	安顺学院 (贵州)  文史——普通类本科批 ,	04,公共事业管理,1,不限,4,4100
 	0022 ,	安顺学院 (贵州)  文史——普通类本科批 ,16,中国共产党历史,1,不限,4,待定
 	0025 ,	安阳师范学院 (河南)  文史——普通类本科批 ,	01,中国语言文学类(汉语言文学、汉语国际教育)(师范类),3,不限,4,3400
 	0025 ,	安阳师范学院 (河南)  文史——普通类本科批 ,	02,历史学类(历史学(师范类)、考古学),3,不限,4,3400
 	0025 ,	安阳师范学院 (河南)  文史——普通类本科批 ,11,思想政治教育(师范类),3,不限,4,3400
 	0027 ,	白城师范学院 (吉林)  文史——普通类本科批 ,	01,思想政治教育(师范类),2,不限,4,3500
 	0027 ,	白城师范学院 (吉林)  文史——普通类本科批 ,	02,小学教育(师范类),2,不限,4,3500
 	0027 ,	白城师范学院 (吉林)  文史——普通类本科批 ,	05,汉语言文学(师范类),3,不限,4,3500
