姓名,赛季,球队,出手距离,篮下命中率,篮下命中,篮下出手,篮下占比,近距两分,近距命中,近距出手,近距占比,中距两分,中距命中,中距出手,中距占比,远距两分,远距命中,远距出手,远距占比,真实命中率,投篮效率
Kelenna Azubuike,11--12,DAL,14.4,1.0,0.7,0.7,0.25,0.0,0.0,0.3,0.125,,,,0.0,0.0,0.0,0.7,0.25,0.438,0.438
Kelenna Azubuike,09--10,GSW,11.8,0.784,3.2,4.1,0.42,0.5,0.6,1.1,0.114,0.25,0.1,0.4,0.045,0.3,0.3,1.1,0.114,0.623,0.602
Kelenna Azubuike,08--09,GSW,12.0,0.609,2.4,4.0,0.35100000000000003,0.333,0.5,1.6,0.142,0.258,0.2,0.8,0.073,0.391,0.8,2.1,0.185,0.562,0.52
Kelenna Azubuike,07--08,GSW,12.3,0.562,1.4,2.5,0.34600000000000003,0.43,0.5,1.1,0.147,0.366,0.2,0.5,0.07,0.387,0.3,0.8,0.106,0.534,0.505
Kelenna Azubuike,06--07,GSW,12.9,0.622,1.1,1.8,0.336,0.138,0.1,0.7,0.132,0.364,0.1,0.3,0.05,0.37,0.2,0.7,0.123,0.5720000000000001,0.523
Gustavo Ayon,13--14,ATL,4.1,0.528,1.5,2.8,0.706,0.5329999999999999,0.3,0.6,0.147,0.25,0.1,0.3,0.078,0.5710000000000001,0.2,0.3,0.069,0.505,0.51
Gustavo Ayon,12--13,TOT,5.2,0.687,1.2,1.8,0.593,0.382,0.2,0.6,0.204,0.267,0.1,0.3,0.09,0.368,0.1,0.3,0.114,0.54,0.551
Gustavo Ayon,12--13,MIL,4.4,0.792,1.6,2.0,0.5710000000000001,0.333,0.3,1.0,0.28600000000000003,0.0,0.0,0.2,0.071,0.667,0.2,0.2,0.071,0.539,0.595
Gustavo Ayon,12--13,ORL,5.4,0.653,1.1,1.7,0.6,0.409,0.2,0.5,0.17600000000000002,0.333,0.1,0.3,0.096,0.313,0.1,0.4,0.128,0.54,0.536
Gustavo Ayon,11--12,NOH,5.5,0.653,1.8,2.8,0.575,0.429,0.4,1.0,0.215,0.382,0.2,0.6,0.13,0.25,0.1,0.4,0.077,0.552,0.536
Dennis Awtrey,81--82,POR,,,,,,,,,,,,,,,,,,0.396,0.333
Dennis Awtrey,80--81,SEA,,,,,,,,,,,,,,,,,,0.501,0.473
Dennis Awtrey,79--80,CHI,,,,,,,,,,,,,,,,,,0.524,0.45
Dennis Awtrey,78--79,TOT,,,,,,,,,,,,,,,,,,0.49,0.407
Dennis Awtrey,78--79,BOS,,,,,,,,,,,,,,,,,,0.473,0.375
Dennis Awtrey,78--79,SEA,,,,,,,,,,,,,,,,,,0.501,0.421
Dennis Awtrey,77--78,PHO,,,,,,,,,,,,,,,,,,0.47,0.422
Dennis Awtrey,76--77,PHO,,,,,,,,,,,,,,,,,,0.48,0.428
Dennis Awtrey,75--76,PHO,,,,,,,,,,,,,,,,,,0.51,0.465
Dennis Awtrey,74--75,PHO,,,,,,,,,,,,,,,,,,0.501,0.469
Dennis Awtrey,73--74,CHI,,,,,,,,,,,,,,,,,,0.56,0.524
Dennis Awtrey,72--73,TOT,,,,,,,,,,,,,,,,,,0.508,0.477
Dennis Awtrey,72--73,CHI,,,,,,,,,,,,,,,,,,0.51,0.478
Dennis Awtrey,72--73,PHI,,,,,,,,,,,,,,,,,,0.4,0.35700000000000004
Dennis Awtrey,71--72,PHI,,,,,,,,,,,,,,,,,,0.48,0.439
Dennis Awtrey,70--71,PHI,,,,,,,,,,,,,,,,,,0.514,0.474
William Avery,01--02,MIN,16.6,0.5710000000000001,0.4,0.7,0.233,0.4,0.1,0.2,0.056,0.0,0.0,0.1,0.044,0.24,0.2,0.9,0.278,0.361,0.322
William Avery,00--01,MIN,15.3,0.524,0.4,0.8,0.292,0.083,0.0,0.2,0.083,0.556,0.1,0.2,0.063,0.5,0.2,0.4,0.153,0.482,0.438
William Avery,99--00,MIN,,,,,,,,,,,,,,,,,,0.391,0.359
Bird Averitt,77--78,TOT,,,,,,,,,,,,,,,,,,0.454,0.408
Bird Averitt,77--78,BUF,,,,,,,,,,,,,,,,,,0.476,0.434
Bird Averitt,77--78,NJN,,,,,,,,,,,,,,,,,,0.419,0.364
Bird Averitt,76--77,BUF,,,,,,,,,,,,,,,,,,0.425,0.377
Bird Averitt,75--76,KEN,,,,,,,,,,,,,,,,,,0.49,0.444
Bird Averitt,74--75,KEN,,,,,,,,,,,,,,,,,,0.476,0.42
Bird Averitt,73--74,SAA,,,,,,,,,,,,,,,,,,0.421,0.381
Anthony Avent,99--00,LAC,,,,,,,,,,,,,,,,,,0.368,0.302
Anthony Avent,98--99,UTA,,,,,,,,,,,,,,,,,,0.324,0.308
Anthony Avent,95--96,VAN,,,,,,,,,,,,,,,,,,0.415,0.384
Anthony Avent,94--95,ORL,,,,,,,,,,,,,,,,,,0.466,0.43
Anthony Avent,93--94,TOT,,,,,,,,,,,,,,,,,,0.43,0.377
Anthony Avent,93--94,MIL,,,,,,,,,,,,,,,,,,0.466,0.404
Anthony Avent,93--94,ORL,,,,,,,,,,,,,,,,,,0.38,0.341
Anthony Avent,92--93,MIL,,,,,,,,,,,,,,,,,,0.459,0.433
Ken Austin,83--84,DET,,,,,,,,,,,,,,,,,,0.462,0.462
Johnny Austin,67--68,NJA,,,,,,,,,,,,,,,,,,0.465,0.387
Johnny Austin,66--67,BAL,,,,,,,,,,,,,,,,,,0.396,0.205
Isaac Austin,01--02,MEM,15.3,0.273,0.1,0.5,0.12,0.2,0.0,0.2,0.054000000000000006,0.563,0.4,0.8,0.174,0.404,1.1,2.7,0.62,0.405,0.391
Isaac Austin,00--01,VAN,14.4,0.521,0.5,0.9,0.17800000000000002,0.185,0.1,0.5,0.1,0.267,0.2,0.6,0.111,0.369,1.0,2.7,0.522,0.393,0.3670000000000001
Isaac Austin,99--00,WAS,,,,,,,,,,,,,,,,,,0.481,0.43
Isaac Austin,98--99,ORL,,,,,,,,,,,,,,,,,,0.457,0.411
Isaac Austin,97--98,TOT,,,,,,,,,,,,,,,,,,0.512,0.466
Isaac Austin,97--98,LAC,,,,,,,,,,,,,,,,,,0.4970000000000001,0.454
Isaac Austin,97--98,MIA,,,,,,,,,,,,,,,,,,0.521,0.474
Isaac Austin,96--97,MIA,,,,,,,,,,,,,,,,,,0.536,0.502
Isaac Austin,93--94,PHI,,,,,,,,,,,,,,,,,,0.473,0.439
Isaac Austin,92--93,UTA,,,,,,,,,,,,,,,,,,0.491,0.446
Isaac Austin,91--92,UTA,,,,,,,,,,,,,,,,,,0.515,0.457
James Augustine,07--08,ORL,4.9,0.609,0.6,0.9,0.6759999999999999,0.333,0.0,0.1,0.08800000000000001,0.75,0.1,0.2,0.118,0.0,0.0,0.2,0.118,0.5329999999999999,0.529
James Augustine,06--07,ORL,0.0,0.333,0.5,1.5,1.0,,,,0.0,,,,0.0,,,,0.0,0.333,0.333
 Augustin,16--17,ORL,18.0,0.482,0.5,1.1,0.161,0.353,0.2,0.7,0.099,0.355,0.1,0.4,0.06,0.385,0.4,1.0,0.151,0.524,0.469
 Augustin,15--16,TOT,15.4,0.516,0.8,1.5,0.26,0.27,0.2,0.6,0.106,0.48,0.2,0.4,0.071,0.393,0.2,0.5,0.08,0.575,0.52
 Augustin,15--16,DEN,15.3,0.55,1.2,2.1,0.262,0.28,0.2,0.9,0.109,0.5710000000000001,0.4,0.8,0.092,0.4,0.2,0.5,0.066,0.601,0.541
 Augustin,15--16,OKC,15.7,0.452,0.4,0.9,0.256,0.25,0.1,0.4,0.099,0.0,0.0,0.1,0.033,0.385,0.1,0.4,0.107,0.522,0.479
 Augustin,14--15,TOT,14.2,0.599,1.2,2.0,0.25,0.319,0.5,1.6,0.209,0.324,0.1,0.4,0.057,0.343,0.3,0.8,0.104,0.527,0.463
 Augustin,14--15,DET,13.2,0.615,1.5,2.4,0.282,0.337,0.7,1.9,0.226,0.28,0.1,0.5,0.054000000000000006,0.34600000000000003,0.3,1.0,0.113,0.536,0.463
 Augustin,14--15,OKC,16.8,0.531,0.6,1.1,0.172,0.258,0.3,1.1,0.16699999999999998,0.417,0.2,0.4,0.065,0.333,0.2,0.5,0.081,0.503,0.462
 Augustin,13--14,TOT,16.6,0.534,1.2,2.3,0.224,0.246,0.2,1.0,0.096,0.3670000000000001,0.3,0.7,0.068,0.411,0.6,1.5,0.149,0.569,0.508
 Augustin,13--14,CHI,16.6,0.5379999999999999,1.4,2.6,0.225,0.242,0.3,1.1,0.095,0.375,0.3,0.8,0.069,0.398,0.7,1.7,0.14800000000000002,0.574,0.514
 Augustin,13--14,TOR,16.3,0.4,0.2,0.5,0.208,0.333,0.1,0.3,0.125,0.0,0.0,0.1,0.042,0.75,0.3,0.4,0.16699999999999998,0.394,0.312
 Augustin,12--13,IND,19.6,0.511,0.3,0.6,0.153,0.091,0.0,0.3,0.075,0.231,0.0,0.2,0.044,0.333,0.1,0.3,0.08199999999999999,0.527,0.464
 Augustin,11--12,CHA,14.4,0.49,1.5,3.0,0.294,0.21,0.3,1.3,0.127,0.32299999999999995,0.2,0.6,0.064,0.403,0.6,1.5,0.14800000000000002,0.493,0.438
 Augustin,10--11,CHA,14.3,0.545,2.0,3.6,0.312,0.279,0.4,1.3,0.109,0.3720000000000001,0.2,0.5,0.045,0.447,1.0,2.2,0.187,0.541,0.474
 Augustin,09--10,CHA,15.6,0.415,0.6,1.5,0.28300000000000003,0.423,0.1,0.3,0.06,0.364,0.2,0.4,0.076,0.32,0.3,0.9,0.172,0.516,0.467
 Augustin,08--09,CHA,15.2,0.471,1.1,2.4,0.277,0.366,0.2,0.6,0.066,0.28600000000000003,0.2,0.7,0.079,0.434,0.7,1.6,0.182,0.5870000000000001,0.517
Stacey Augmon,05--06,ORL,6.9,0.56,0.4,0.7,0.342,0.24,0.2,0.7,0.342,0.17600000000000002,0.1,0.5,0.233,0.333,0.1,0.2,0.08199999999999999,0.412,0.342
Stacey Augmon,04--05,ORL,8.2,0.552,0.6,1.1,0.34700000000000003,0.324,0.2,0.7,0.222,0.349,0.3,0.8,0.257,0.31,0.2,0.5,0.174,0.48,0.407
Stacey Augmon,03--04,NOH,8.7,0.569,1.1,1.9,0.375,0.321,0.3,0.8,0.161,0.354,0.4,1.2,0.236,0.292,0.3,1.0,0.207,0.486,0.414
Stacey Augmon,02--03,NOH,9.4,0.585,0.5,0.9,0.339,0.519,0.2,0.4,0.141,0.345,0.3,0.8,0.28600000000000003,0.211,0.1,0.5,0.198,0.474,0.411
Stacey Augmon,01--02,CHH,10.2,0.546,0.7,1.3,0.29600000000000004,0.377,0.3,0.7,0.162,0.373,0.4,1.0,0.229,0.396,0.5,1.3,0.308,0.479,0.4270000000000001
Stacey Augmon,00--01,POR,9.7,0.5770000000000001,0.8,1.5,0.365,0.442,0.3,0.7,0.162,0.44,0.2,0.4,0.094,0.423,0.6,1.5,0.365,0.511,0.477
Stacey Augmon,99--00,POR,,,,,,,,,,,,,,,,,,0.51,0.474
Stacey Augmon,98--99,POR,,,,,,,,,,,,,,,,,,0.501,0.448
Stacey Augmon,97--98,POR,,,,,,,,,,,,,,,,,,0.457,0.415
Stacey Augmon,96--97,TOT,,,,,,,,,,,,,,,,,,0.531,0.477
Stacey Augmon,96--97,DET,,,,,,,,,,,,,,,,,,0.473,0.403
Stacey Augmon,96--97,POR,,,,,,,,,,,,,,,,,,0.564,0.517
Stacey Augmon,95--96,ATL,,,,,,,,,,,,,,,,,,0.556,0.491
Stacey Augmon,94--95,ATL,,,,,,,,,,,,,,,,,,0.512,0.457
Stacey Augmon,93--94,ATL,,,,,,,,,,,,,,,,,,0.5760000000000001,0.51
Stacey Augmon,92--93,ATL,,,,,,,,,,,,,,,,,,0.551,0.501
Stacey Augmon,91--92,ATL,,,,,,,,,,,,,,,,,,0.526,0.49
Chet Aubuchon,46--47,DTF,,,,,,,,,,,,,,,,,,0.305,0.247
Al Attles,70--71,SFW,,,,,,,,,,,,,,,,,,0.472,0.398
Al Attles,69--70,SFW,,,,,,,,,,,,,,,,,,0.459,0.384
Al Attles,68--69,SFW,,,,,,,,,,,,,,,,,,0.493,0.45
Al Attles,67--68,SFW,,,,,,,,,,,,,,,,,,0.515,0.466
Al Attles,66--67,SFW,,,,,,,,,,,,,,,,,,0.48,0.453
Al Attles,65--66,SFW,,,,,,,,,,,,,,,,,,0.528,0.502
Al Attles,64--65,SFW,,,,,,,,,,,,,,,,,,0.434,0.383
Al Attles,63--64,SFW,,,,,,,,,,,,,,,,,,0.501,0.451
Al Attles,62--63,SFW,,,,,,,,,,,,,,,,,,0.51,0.477
Al Attles,61--62,PHW,,,,,,,,,,,,,,,,,,0.501,0.473
Al Attles,60--61,PHW,,,,,,,,,,,,,,,,,,0.44,0.408
Chucky Atkins,09--10,DET,18.5,0.5379999999999999,0.4,0.7,0.166,0.25,0.0,0.1,0.025,0.333,0.0,0.1,0.038,0.375,0.5,1.2,0.306,0.477,0.433
Chucky Atkins,08--09,TOT,19.5,0.313,0.2,0.5,0.142,0.0,0.0,0.1,0.018000000000000002,0.0,0.0,0.1,0.027000000000000003,0.4,0.4,1.1,0.31,0.408,0.3670000000000001
Chucky Atkins,08--09,DEN,22.3,1.0,0.1,0.1,0.037000000000000005,,,,0.0,,,,0.0,0.333,0.2,0.6,0.333,0.469,0.426
Chucky Atkins,08--09,OKC,18.6,0.267,0.2,0.8,0.174,0.0,0.0,0.1,0.023,0.0,0.0,0.2,0.035,0.423,0.6,1.4,0.302,0.389,0.349
Chucky Atkins,07--08,DEN,20.5,0.5,0.4,0.8,0.14800000000000002,0.0,0.0,0.0,0.008,0.4,0.1,0.2,0.041,0.316,0.3,0.8,0.156,0.449,0.447
Chucky Atkins,06--07,MEM,15.5,0.524,1.5,2.8,0.29100000000000004,0.35700000000000004,0.2,0.6,0.059,0.452,0.3,0.6,0.059,0.436,0.7,1.6,0.16399999999999998,0.58,0.515
