姓名,球队,薪金（万美元）,赛季
Kelenna Azubuike,,5,06-07
Kelenna Azubuike,,25,06-07
Kelenna Azubuike,,69,07-08
Kelenna Azubuike,,290,08-09
Kelenna Azubuike,,313,09-10
Kelenna Azubuike,,330,10-11
Kelenna Azubuike,,89,12-13
Gustavo Ayon,,157,11-12
Gustavo Ayon,,150,12-13
Gustavo Ayon,,150,13-14
William Avery,,120,99-00
William Avery,,129,00-01
William Avery,,138,01-02
Anthony Avent,,50,92-93
Anthony Avent,,65,93-94
Anthony Avent,,80,94-95
Anthony Avent,,95,95-96
Anthony Avent,LAC,51,99-00
Isaac Austin,UTA,13,91-92
Isaac Austin,UTA,40,92-93
Isaac Austin,UTA,45,93-94
Isaac Austin,MIA,25,96-97
Isaac Austin,MIA,38,97-98
Isaac Austin,ORL,500,98-99
Isaac Austin,WAS,482,99-00
Isaac Austin,,550,00-01
Isaac Austin,MEM,570,01-02
James Augustine,ORL,41,06-07
James Augustine,ORL,69,07-08
 Augustin,CHA,221,08-09
 Augustin,CHA,239,09-10
 Augustin,CHA,254,10-11
 Augustin,CHA,324,11-12
 Augustin,IND,350,12-13
 Augustin,CHI,76,13-14
 Augustin,TOR,127,13-14
 Augustin,OKC,300,14-15
 Augustin,DEN,300,15-16
 Augustin,ORL,725,16-17
 Augustin,ORL,725,17-18
 Augustin,ORL,725,18-19
 Augustin,ORL,725,19-20
Stacey Augmon,ATL,88,91-92
Stacey Augmon,ATL,114,92-93
Stacey Augmon,ATL,140,93-94
Stacey Augmon,ATL,166,94-95
Stacey Augmon,ATL,216,95-96
Stacey Augmon,DET,248,96-97
Stacey Augmon,POR,280,97-98
Stacey Augmon,POR,320,98-99
Stacey Augmon,HOU,345,99-00
Stacey Augmon,POR,51,99-00
Stacey Augmon,POR,92,00-01
Stacey Augmon,CHA,240,01-02
Stacey Augmon,NOH,240,02-03
Stacey Augmon,NOH,240,03-04
Stacey Augmon,ORL,110,04-05
Stacey Augmon,ORL,114,05-06
Chucky Atkins,ORL,39,99-00
Chucky Atkins,DET,300,00-01
Chucky Atkins,DET,330,01-02
Chucky Atkins,DET,360,02-03
Chucky Atkins,DET,390,03-04
Chucky Atkins,LAL,420,04-05
Chucky Atkins,WAS,450,05-06
Chucky Atkins,MEM,300,06-07
Chucky Atkins,DEN,300,07-08
Chucky Atkins,OKC,324,08-09
Chucky Atkins,DET,131,09-10
Chucky Atkins,MIN,76,09-10
Keith Askins,MIA,15,90-91
Keith Askins,MIA,20,91-92
Keith Askins,MIA,25,92-93
Keith Askins,MIA,31,93-94
Keith Askins,MIA,41,94-95
Keith Askins,MIA,55,95-96
Keith Askins,MIA,65,96-97
Keith Askins,MIA,75,97-98
Keith Askins,MIA,73,98-99
Keith Askins,MIA,175,99-00
Vincent Askew,GSW,14,91-92
Vincent Askew,,18,92-93
Vincent Askew,,146,94-95
Vincent Askew,,181,95-96
Vincent Askew,IND,200,96-97
Vincent Askew,POR,27,97-98
Omer Asik,CHI,172,10-11
Omer Asik,CHI,186,11-12
Omer Asik,HOU,837,12-13
Omer Asik,HOU,837,13-14
Omer Asik,NOH,837,14-15
Omer Asik,NOH,1100,15-16
Omer Asik,NOH,990,16-17
Omer Asik,NOH,1060,17-18
Omer Asik,NOH,1129,18-19
Omer Asik,NOH,1198,19-20
Darrell Arthur,MEM,98,08-09
Darrell Arthur,MEM,105,09-10
Darrell Arthur,MEM,112,10-11
Darrell Arthur,MEM,203,11-12
Darrell Arthur,MEM,301,12-13
Darrell Arthur,DEN,323,13-14
Darrell Arthur,DEN,346,14-15
Darrell Arthur,DEN,281,15-16
Darrell Arthur,DEN,807,16-17
Darrell Arthur,DEN,746,17-18
Darrell Arthur,DEN,746,18-19
Carlos Arroyo,TOR,33,01-02
Carlos Arroyo,UTA,55,02-03
Carlos Arroyo,UTA,80,03-04
Carlos Arroyo,UTA,400,04-05
Carlos Arroyo,DET,400,05-06
Carlos Arroyo,ORL,410,06-07
Carlos Arroyo,ORL,410,07-08
Carlos Arroyo,MIA,111,09-10
Carlos Arroyo,MIA,122,10-11
Hilton Armstrong,NOH,177,06-07
Hilton Armstrong,NOH,190,07-08
Hilton Armstrong,NOH,203,08-09
Hilton Armstrong,HOU,280,09-10
Hilton Armstrong,ATL,99,10-11
Hilton Armstrong,GSW,5,13-14
Darrell Armstrong,ORL,35,95-96
Darrell Armstrong,ORL,41,96-97
Darrell Armstrong,ORL,35,97-98
Darrell Armstrong,ORL,290,98-99
Darrell Armstrong,ORL,413,99-00
Darrell Armstrong,ORL,310,00-01
Darrell Armstrong,ORL,401,01-02
Darrell Armstrong,ORL,401,02-03
Darrell Armstrong,NOH,248,03-04
Darrell Armstrong,DAL,228,04-05
Darrell Armstrong,DAL,114,05-06
Darrell Armstrong,IND,118,06-07
Darrell Armstrong,,122,07-08
Brandon Armstrong,,87,01-02
Brandon Armstrong,,93,02-03
Brandon Armstrong,,100,03-04
BJ ,CHI,43,90-91
BJ ,CHI,44,91-92
BJ ,CHI,54,92-93
BJ ,CHI,62,93-94
BJ ,CHI,280,94-95
BJ ,GSW,240,95-96
BJ ,GSW,240,96-97
BJ ,GSW,260,97-98
BJ ,ORL,85,98-99
BJ ,LAL,280,98-99
BJ ,CHI,51,99-00
Trevor Ariza,NYK,39,04-05
Trevor Ariza,NYK,68,05-06
Trevor Ariza,ORL,310,06-07
Trevor Ariza,LAL,310,07-08
Trevor Ariza,LAL,310,08-09
Trevor Ariza,HOU,585,09-10
Trevor Ariza,NOH,632,10-11
Trevor Ariza,WAS,547,11-12
Trevor Ariza,NOH,679,11-12
Trevor Ariza,WAS,726,12-13
Trevor Ariza,WAS,773,13-14
Trevor Ariza,HOU,858,14-15
Trevor Ariza,HOU,819,15-16
Trevor Ariza,HOU,781,16-17
Trevor Ariza,HOU,742,17-18
Gilbert Arenas,GSW,33,01-02
Gilbert Arenas,GSW,51,02-03
Gilbert Arenas,WAS,854,03-04
Gilbert Arenas,WAS,939,04-05
Gilbert Arenas,WAS,1024,05-06
Gilbert Arenas,WAS,1110,06-07
Gilbert Arenas,WAS,1195,07-08
Gilbert Arenas,WAS,1465,08-09
Gilbert Arenas,WAS,1619,09-10
Gilbert Arenas,ORL,1773,10-11
Gilbert Arenas,MEM,41,11-12
Gilbert Arenas,ORL,1927,11-12
Gilbert Arenas,ORL,2081,12-13
Robert Archibald,MEM,35,02-03
Robert Archibald,ORL,56,03-04
Rafael Araujo,TOR,208,04-05
Rafael Araujo,TOR,224,05-06
Rafael Araujo,UTA,240,06-07
Joel Anthony,MIA,43,07-08
Joel Anthony,MIA,71,08-09
Joel Anthony,MIA,83,09-10
Joel Anthony,MIA,330,10-11
Joel Anthony,MIA,360,11-12
Joel Anthony,MIA,375,12-13
Joel Anthony,BOS,380,13-14
Joel Anthony,MIA,380,13-14
Joel Anthony,DET,380,14-15
Joel Anthony,DET,250,15-16
Joel Anthony,SAS,66,16-17
Greg Anthony,NYK,87,91-92
Greg Anthony,NYK,107,92-93
Greg Anthony,NYK,127,93-94
Greg Anthony,NYK,147,94-95
Greg Anthony,,167,95-96
Greg Anthony,,188,96-97
Greg Anthony,,27,97-98
Greg Anthony,POR,100,98-99
Greg Anthony,POR,110,99-00
Greg Anthony,POR,350,00-01
Greg Anthony,CHI,300,01-02
Greg Anthony,CHI,150,02-03
Carmelo Anthony,DEN,323,03-04
Carmelo Anthony,DEN,347,04-05
Carmelo Anthony,DEN,371,05-06
Carmelo Anthony,DEN,469,06-07
Carmelo Anthony,DEN,1304,07-08
Carmelo Anthony,DEN,1441,08-09
Carmelo Anthony,DEN,1578,09-10
Carmelo Anthony,NYK,1715,10-11
Carmelo Anthony,NYK,1852,11-12
Carmelo Anthony,NYK,1945,12-13
Carmelo Anthony,NYK,2241,13-14
Carmelo Anthony,NYK,2246,14-15
Carmelo Anthony,NYK,2288,15-16
Carmelo Anthony,NYK,2456,16-17
Carmelo Anthony,NYK,2624,17-18
Carmelo Anthony,NYK,2793,18-19
Chris Anstey,DAL,71,97-98
Chris Anstey,DAL,99,98-99
Chris Anstey,CHI,111,99-00
Michael Ansley,ORL,20,90-91
Martynas Andriuskevicius,CLE,40,05-06
Martynas Andriuskevicius,CHI,66,06-07
Willie Anderson,SAS,50,88-89
Willie Anderson,SAS,73,90-91
Willie Anderson,SAS,78,91-92
Willie Anderson,SAS,208,92-93
Willie Anderson,SAS,208,93-94
Willie Anderson,SAS,208,94-95
Willie Anderson,TOR,208,95-96
Willie Anderson,MIA,51,99-00
Shandon Anderson,UTA,22,96-97
Shandon Anderson,UTA,120,97-98
Shandon Anderson,UTA,130,98-99
Shandon Anderson,HOU,200,99-00
Shandon Anderson,HOU,220,00-01
Shandon Anderson,NYK,550,01-02
Shandon Anderson,NYK,610,02-03
Shandon Anderson,NYK,670,03-04
Shandon Anderson,NYK,730,04-05
Shandon Anderson,MIA,87,04-05
Shandon Anderson,MIA,104,05-06
Shandon Anderson,NYK,790,05-06
Shandon Anderson,NYK,724,06-07
Ryan Anderson,,123,08-09
Ryan Anderson,ORL,132,09-10
Ryan Anderson,ORL,141,10-11
Ryan Anderson,ORL,224,11-12
Ryan Anderson,NOH,870,12-13
Ryan Anderson,NOH,831,13-14
Ryan Anderson,NOH,849,14-15
Ryan Anderson,NOH,850,15-16
Ryan Anderson,HOU,1874,16-17
Ryan Anderson,HOU,1958,17-18
