球队,时间,结果,主/客场,比分,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
CHI,1986-04-17,L,客,BOS123-104CHI,0.488,42,86,0.5,1,2,0.826,19,23,30,11,19,17,8,2,17,30,104
CHI,1986-04-20,L,客,BOS135-131CHI,0.461,47,102,0.0,0,2,0.804,37,46,44,14,30,15,9,4,11,34,131
CHI,1986-04-22,L,主,BOS122-104CHI,0.438,39,89,0.25,1,4,0.6940000000000001,25,36,45,16,29,19,7,5,15,28,104
CHI,1987-04-23,L,客,BOS108-104CHI,0.487,38,78,0.333,1,3,0.964,27,28,30,8,22,26,5,3,9,22,104
CHI,1987-04-26,L,客,BOS105-96CHI,0.442,34,77,0.5710000000000001,4,7,0.857,24,28,38,12,26,14,1,4,15,25,96
CHI,1987-04-28,L,主,BOS105-94CHI,0.386,34,88,0.333,2,6,0.75,24,32,46,19,27,24,11,6,10,29,94
CHI,1988-04-28,W,主,CLE93-104CHI,0.467,43,92,0.0,0,1,0.947,18,19,50,18,32,21,9,6,16,24,104
CHI,1988-05-01,W,主,CLE101-106CHI,0.443,47,106,0.0,0,1,0.857,12,14,57,24,33,30,7,2,10,20,106
CHI,1988-05-03,L,客,CLE110-102CHI,0.464,39,84,0.0,0,3,0.96,24,25,29,12,17,24,6,4,8,28,102
CHI,1988-05-05,L,客,CLE97-91CHI,0.453,39,86,0.0,0,2,0.765,13,17,41,13,28,19,9,5,13,26,91
CHI,1988-05-08,W,主,CLE101-107CHI,0.494,42,85,0.0,0,3,0.7929999999999999,23,29,46,17,29,31,9,4,15,24,107
CHI,1988-05-10,L,客,DET93-82CHI,0.391,34,87,0.25,1,4,0.684,13,19,43,15,28,24,11,5,11,22,82
CHI,1988-05-12,W,客,DET95-105CHI,0.486,36,74,0.5,1,2,0.821,32,39,48,14,34,19,5,5,21,34,105
CHI,1988-05-14,L,主,DET101-79CHI,0.403,31,77,0.5,1,2,0.8,16,20,42,10,32,24,4,2,17,16,79
CHI,1988-05-15,L,主,DET96-77CHI,0.429,33,77,0.429,3,7,0.615,8,13,36,10,26,19,8,0,19,21,77
CHI,1988-05-18,L,客,DET102-95CHI,0.482,40,83,0.333,2,6,0.765,13,17,38,10,28,23,3,7,10,23,95
CHI,1989-04-28,W,客,CLE88-95CHI,0.486,36,74,0.778,7,9,0.889,16,18,40,9,31,24,11,2,18,28,95
CHI,1989-04-30,L,客,CLE96-88CHI,0.415,34,82,0.333,5,15,0.882,15,17,41,14,27,22,8,3,20,28,88
CHI,1989-05-03,W,主,CLE94-101CHI,0.473,43,91,0.333,3,9,0.6,12,20,51,15,36,31,11,4,12,23,101
CHI,1989-05-05,L,主,CLE108-105CHI,0.417,35,84,0.222,2,9,0.767,33,43,47,16,31,24,9,6,8,30,105
CHI,1989-05-07,W,客,CLE100-101CHI,0.482,40,83,0.455,5,11,0.615,16,26,37,13,24,20,7,3,13,24,101
CHI,1989-05-09,W,客,NYK109-120CHI,0.506,42,83,0.429,6,14,0.833,30,36,54,13,41,29,6,4,21,24,120
CHI,1989-05-11,L,客,NYK114-97CHI,0.435,37,85,0.278,5,18,0.75,18,24,38,13,25,21,8,2,18,25,97
CHI,1989-05-13,W,主,NYK88-111CHI,0.5,45,90,0.375,3,8,0.667,18,27,55,23,32,31,10,4,18,30,111
CHI,1989-05-14,W,主,NYK93-106CHI,0.54,34,63,0.0,0,7,0.8440000000000001,38,45,40,8,32,27,7,3,14,21,106
CHI,1989-05-16,L,客,NYK121-114CHI,0.482,41,85,0.35700000000000004,5,14,0.7709999999999999,27,35,35,14,21,25,12,2,13,24,114
CHI,1989-05-19,W,主,NYK111-113CHI,0.5920000000000001,42,71,0.5710000000000001,8,14,0.84,21,25,27,7,20,27,10,10,15,27,113
CHI,1989-05-21,W,客,DET88-94CHI,0.412,35,85,0.353,6,17,0.72,18,25,45,18,27,19,6,3,11,30,94
CHI,1989-05-23,L,客,DET100-91CHI,0.4270000000000001,32,75,0.0,0,8,0.75,27,36,43,13,30,21,8,6,17,26,91
CHI,1989-05-27,W,主,DET97-99CHI,0.507,37,73,0.111,1,9,0.774,24,31,29,8,21,21,9,5,10,27,99
CHI,1989-05-29,L,主,DET86-80CHI,0.391,27,69,0.3,6,20,0.741,20,27,40,9,31,20,5,8,11,32,80
CHI,1989-05-31,L,客,DET94-85CHI,0.4920000000000001,29,59,0.462,6,13,0.84,21,25,39,6,33,16,1,2,24,22,85
CHI,1989-06-02,L,主,DET103-94CHI,0.447,34,76,0.417,5,12,0.618,21,34,40,9,31,21,5,5,13,27,94
CHI,1990-04-27,W,主,MIL97-111CHI,0.531,43,81,0.0,0,1,0.735,25,34,41,14,27,31,11,4,13,24,111
CHI,1990-04-29,W,主,MIL102-109CHI,0.547,41,75,1.0,2,2,0.6759999999999999,25,37,31,9,22,25,14,5,17,22,109
CHI,1990-05-01,L,客,MIL119-112CHI,0.5379999999999999,43,80,0.111,1,9,0.758,25,33,39,13,26,24,3,3,13,29,112
CHI,1990-05-03,W,客,MIL86-110CHI,0.461,35,76,0.6,3,5,0.685,37,54,57,18,39,17,10,5,17,29,110
CHI,1990-05-07,W,主,NAN85-96CHI,0.466,41,88,0.333,3,9,0.579,11,19,46,12,34,26,10,10,9,20,96
CHI,1990-05-09,W,主,NAN96-101CHI,0.506,43,85,0.222,2,9,0.684,13,19,39,12,27,25,9,3,9,17,101
CHI,1990-05-11,L,客,NAN118-112CHI,0.5,40,80,0.313,5,16,0.818,27,33,32,10,22,25,13,3,17,31,112
CHI,1990-05-13,W,客,NAN101-111CHI,0.518,44,85,0.25,1,4,0.7859999999999999,22,28,43,16,27,24,10,2,13,26,111
CHI,1990-05-16,W,主,NAN99-117CHI,0.585,48,82,0.333,2,6,0.76,19,25,38,13,25,31,11,3,12,23,117
CHI,1990-05-20,L,客,DET86-77CHI,0.378,31,82,0.333,4,12,0.688,11,16,36,7,29,16,8,2,15,22,77
CHI,1990-05-22,L,客,DET102-93CHI,0.408,31,76,0.3,3,10,0.8,28,35,35,8,27,18,7,6,19,34,93
CHI,1990-05-26,W,主,DET102-107CHI,0.476,39,82,0.333,2,6,0.794,27,34,46,21,25,18,5,4,18,26,107
CHI,1990-05-28,W,主,DET101-108CHI,0.481,39,81,0.14300000000000002,1,7,0.763,29,38,37,11,26,30,11,8,18,33,108
CHI,1990-05-30,L,客,DET97-83CHI,0.333,28,84,0.294,5,17,0.815,22,27,36,15,21,18,7,3,9,26,83
CHI,1990-06-01,W,主,DET91-109CHI,0.48,36,75,0.7,7,10,0.882,30,34,41,9,32,22,5,6,17,26,109
CHI,1990-06-03,L,客,DET93-74CHI,0.311,28,90,0.105,2,19,0.941,16,17,45,21,24,15,4,2,10,21,74
CHI,1991-04-25,W,主,NYK85-126CHI,0.524,44,84,0.6,6,10,0.762,32,42,41,15,26,26,15,0,15,20,126
CHI,1991-04-28,W,主,NYK79-89CHI,0.469,30,64,0.667,2,3,0.794,27,34,30,3,27,19,9,5,12,15,89
CHI,1991-04-30,W,客,NYK94-103CHI,0.489,43,88,0.0,0,3,0.81,17,21,42,15,27,22,13,4,10,20,103
CHI,1991-05-04,W,主,NAN92-105CHI,0.541,40,74,0.4,2,5,0.7929999999999999,23,29,36,8,28,25,9,4,8,26,105
CHI,1991-05-06,W,主,NAN100-112CHI,0.5710000000000001,48,84,0.222,2,9,0.636,14,22,42,16,26,30,5,3,9,23,112
CHI,1991-05-10,L,客,NAN99-97CHI,0.488,42,86,0.2,1,5,0.632,12,19,36,10,26,25,8,5,10,27,97
CHI,1991-05-12,W,客,NAN85-101CHI,0.478,44,92,0.429,3,7,0.7140000000000001,10,14,44,17,27,28,14,2,12,20,101
CHI,1991-05-14,W,主,NAN95-100CHI,0.482,41,85,0.333,2,6,0.8420000000000001,16,19,52,16,36,22,2,1,9,20,100
CHI,1991-05-19,W,主,DET83-94CHI,0.5,33,66,0.2,1,5,0.73,27,37,43,12,31,23,11,9,14,25,94
CHI,1991-05-21,W,主,DET97-105CHI,0.486,34,70,0.429,3,7,0.7559999999999999,34,45,36,15,21,26,9,5,15,20,105
CHI,1991-05-25,W,客,DET107-113CHI,0.575,42,73,0.25,1,4,0.8,28,35,39,12,27,21,9,9,14,30,113
CHI,1991-05-27,W,客,DET94-115CHI,0.5,42,84,0.28600000000000003,2,7,0.674,29,43,46,18,28,28,8,4,8,25,115
CHI,1991-06-02,L,主,LAL93-91CHI,0.475,38,80,0.14300000000000002,1,7,0.778,14,18,39,9,30,26,11,5,10,21,91
CHI,1991-06-05,W,主,LAL86-107CHI,0.617,50,81,0.0,0,5,0.875,7,8,36,11,25,35,10,1,14,20,107
CHI,1991-06-07,W,客,LAL96-104CHI,0.482,41,85,0.333,1,3,0.875,21,24,46,16,30,23,10,5,16,21,104
CHI,1991-06-09,W,客,LAL82-97CHI,0.525,42,80,0.333,1,3,0.857,12,14,38,9,29,27,4,8,5,22,97
CHI,1991-06-12,W,客,LAL101-108CHI,0.5379999999999999,42,78,0.667,2,3,0.7859999999999999,22,28,37,10,27,28,14,6,18,23,108
