姓名,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
Kelenna Azubuike,11--12,DAL,3.0,0.0,6.0,0.375,1.0,2.7,0.333,0.3,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.3,0.3,2.3,1.0,2.0
Kelenna Azubuike,09--10,GSW,9.0,7.0,25.7,0.545,5.3,9.8,0.37,1.1,3.0,0.679,2.1,3.1,4.6,1.3,3.2,1.1,0.6,1.0,0.8,1.8,13.9,3.0,6.0
Kelenna Azubuike,08--09,GSW,74.0,51.0,32.1,0.464,5.3,11.4,0.448,1.3,2.8,0.8079999999999999,2.5,3.1,5.0,1.5,3.5,1.6,0.8,0.7,1.3,2.5,14.4,29.0,45.0
Kelenna Azubuike,07--08,GSW,81.0,17.0,21.4,0.445,3.2,7.2,0.364,0.9,2.4,0.7170000000000001,1.2,1.7,4.0,1.3,2.7,0.9,0.6,0.4,0.7,2.0,8.5,48.0,33.0
Kelenna Azubuike,06--07,GSW,41.0,9.0,16.3,0.445,2.4,5.4,0.43,0.8,1.9,0.782,1.5,1.9,2.3,0.6,1.7,0.7,0.5,0.2,1.0,1.2,7.1,18.0,23.0
Gustavo Ayon,13--14,ATL,26.0,14.0,16.5,0.51,2.0,3.9,,0.0,0.0,0.4,0.3,0.8,4.8,1.6,3.2,1.1,1.0,0.4,1.1,1.8,4.3,12.0,14.0
Gustavo Ayon,12--13,TOT,55.0,3.0,13.4,0.551,1.7,3.0,,0.0,0.0,0.4,0.4,0.9,3.6,1.1,2.5,1.3,0.4,0.3,0.9,1.9,3.7,17.0,38.0
Gustavo Ayon,12--13,MIL,12.0,0.0,13.7,0.595,2.1,3.5,,0.0,0.0,0.083,0.1,1.0,4.9,1.7,3.3,1.0,0.8,0.3,0.8,2.0,4.3,5.0,7.0
Gustavo Ayon,12--13,ORL,43.0,3.0,13.3,0.536,1.6,2.9,,0.0,0.0,0.5,0.4,0.9,3.3,0.9,2.3,1.4,0.3,0.3,0.9,1.9,3.6,12.0,31.0
Gustavo Ayon,11--12,NOH,54.0,24.0,20.1,0.536,2.6,4.8,0.0,0.0,0.0,0.619,0.7,1.2,4.9,1.6,3.3,1.4,1.0,0.9,0.9,2.2,5.9,18.0,36.0
Dennis Awtrey,81--82,POR,10.0,3.0,12.1,0.333,0.5,1.5,,0.0,0.0,0.556,0.5,0.9,1.4,0.7,0.7,0.8,0.1,0.2,0.6,2.8,1.5,,
Dennis Awtrey,80--81,SEA,47.0,,12.9,0.473,0.9,2.0,,0.0,0.0,0.7,0.3,0.4,2.3,0.7,1.6,1.1,0.3,0.2,0.7,1.8,2.2,,
Dennis Awtrey,79--80,CHI,26.0,,21.5,0.45,1.0,2.3,,0.0,0.0,0.64,1.2,1.9,4.4,1.1,3.3,1.5,0.5,0.6,1.0,2.5,3.3,,
Dennis Awtrey,78--79,TOT,63.0,,11.8,0.411,0.7,1.7,,,,0.732,0.7,0.9,2.4,0.7,1.7,1.1,0.3,0.2,0.8,1.7,2.0,,
Dennis Awtrey,78--79,SEA,40.0,,12.5,0.429,0.7,1.6,,,,0.6940000000000001,0.6,0.9,2.6,0.7,1.9,1.2,0.3,0.2,0.8,1.7,2.0,,
Dennis Awtrey,78--79,BOS,23.0,,10.7,0.386,0.7,1.9,,,,0.8,0.7,0.9,2.0,0.6,1.5,0.9,0.1,0.3,0.9,1.6,2.2,,
Dennis Awtrey,77--78,PHO,81.0,,20.0,0.424,1.4,3.3,,,,0.633,0.9,1.3,3.7,1.2,2.5,2.0,0.2,0.3,1.6,1.9,3.6,,
Dennis Awtrey,76--77,PHO,72.0,,24.4,0.429,2.2,5.2,,,,0.722,1.3,1.8,4.9,1.5,3.4,2.5,0.3,0.4,,2.4,5.7,,
Dennis Awtrey,75--76,PHO,74.0,,18.6,0.467,1.9,4.1,,,,0.688,1.0,1.5,4.0,1.3,2.7,2.1,0.3,0.3,,2.1,4.9,,
Dennis Awtrey,74--75,PHO,82.0,,34.6,0.47,4.1,8.8,,,,0.677,1.6,2.4,8.6,3.0,5.6,4.2,0.7,0.6,,2.8,9.9,,
Dennis Awtrey,73--74,CHI,68.0,,11.1,0.528,1.0,1.8,,,,0.574,0.8,1.4,2.6,0.7,1.8,1.3,0.3,0.2,,1.9,2.7,,
Dennis Awtrey,72--73,TOT,82.0,,20.6,0.479,1.8,3.7,,,,0.562,1.0,1.9,5.5,,,2.7,,,,2.9,4.6,,
Dennis Awtrey,72--73,CHI,79.0,,20.9,0.48,1.8,3.8,,,,0.57,1.1,1.9,5.5,,,2.8,,,,2.9,4.7,,
Dennis Awtrey,72--73,PHI,3.0,,12.3,0.429,1.0,2.3,,,,0.25,0.3,1.3,4.7,,,0.7,,,,2.7,2.3,,
Dennis Awtrey,71--72,PHI,58.0,,13.7,0.441,1.7,3.8,,,,0.645,0.8,1.3,4.3,,,0.9,,,,2.4,4.2,,
Dennis Awtrey,70--71,PHI,70.0,,18.5,0.475,2.9,6.0,,,,0.662,1.5,2.2,6.1,,,1.3,,,,3.0,7.2,,
William Avery,01--02,MIN,28.0,0.0,9.2,0.289,0.9,3.2,0.171,0.2,1.3,0.684,0.5,0.7,0.9,0.1,0.7,1.3,0.3,0.0,0.7,0.6,2.5,17.0,11.0
William Avery,00--01,MIN,55.0,0.0,8.4,0.382,1.0,2.6,0.271,0.3,1.1,0.778,0.5,0.7,0.5,0.1,0.4,1.4,0.2,0.1,0.8,0.9,2.8,32.0,23.0
William Avery,99--00,MIN,59.0,1.0,8.2,0.309,0.9,3.1,0.28600000000000003,0.3,1.1,0.667,0.4,0.6,0.7,0.1,0.5,1.5,0.2,0.0,0.7,1.0,2.6,37.0,22.0
Bird Averitt,77--78,TOT,55.0,,19.7,0.409,3.6,8.8,,,,0.7090000000000001,1.8,2.6,1.5,0.3,1.2,3.6,0.7,0.2,2.6,2.2,9.0,,
