姓名,赛季,球队,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
Kelenna Azubuike,11--12,DAL,8.0,0.6,3.0,5.0,1.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0
Kelenna Azubuike,09--10,GSW,40.0,0.857,13.0,19.0,1.0,3.0,8.0,0.75,6.0,8.0,7.0,4.0,7.0,5.0,2.0,2.0,2.0,5.0,31.0
Kelenna Azubuike,08--09,GSW,51.0,0.9,12.0,22.0,1.0,5.0,7.0,1.0,12.0,14.0,15.0,5.0,11.0,7.0,3.0,4.0,4.0,6.0,32.0
Kelenna Azubuike,07--08,GSW,48.0,1.0,12.0,20.0,1.0,4.0,7.0,1.0,7.0,9.0,11.0,6.0,8.0,4.0,4.0,3.0,4.0,6.0,33.0
Kelenna Azubuike,06--07,GSW,48.0,1.0,9.0,17.0,1.0,4.0,8.0,1.0,8.0,12.0,7.0,3.0,6.0,3.0,2.0,2.0,5.0,4.0,28.0
Gustavo Ayon,13--14,ATL,31.0,1.0,9.0,11.0,,0.0,0.0,1.0,2.0,4.0,10.0,7.0,7.0,4.0,4.0,2.0,4.0,5.0,18.0
Gustavo Ayon,12--13,TOT,37.0,1.0,8.0,14.0,,0.0,0.0,1.0,4.0,6.0,13.0,4.0,11.0,6.0,2.0,2.0,4.0,5.0,16.0
Gustavo Ayon,12--13,MIL,27.0,1.0,6.0,9.0,,0.0,0.0,0.5,1.0,2.0,12.0,4.0,9.0,3.0,2.0,1.0,4.0,5.0,12.0
Gustavo Ayon,12--13,ORL,37.0,1.0,8.0,14.0,,0.0,0.0,1.0,4.0,6.0,13.0,3.0,11.0,6.0,1.0,2.0,4.0,5.0,16.0
Gustavo Ayon,11--12,NOH,39.0,1.0,8.0,12.0,0.0,0.0,1.0,1.0,4.0,6.0,17.0,6.0,11.0,5.0,4.0,4.0,4.0,6.0,16.0
William Avery,01--02,MIN,22.0,1.0,5.0,11.0,0.667,2.0,4.0,1.0,4.0,5.0,4.0,2.0,2.0,4.0,1.0,0.0,2.0,4.0,14.0
William Avery,00--01,MIN,23.0,1.0,6.0,11.0,1.0,2.0,5.0,1.0,5.0,7.0,3.0,1.0,3.0,8.0,2.0,2.0,4.0,4.0,16.0
William Avery,99--00,MIN,32.0,1.0,5.0,12.0,1.0,2.0,6.0,1.0,5.0,5.0,5.0,2.0,5.0,8.0,2.0,1.0,3.0,4.0,13.0
Anthony Avent,99--00,LAC,23.0,0.75,4.0,9.0,,0.0,0.0,1.0,4.0,4.0,7.0,3.0,5.0,3.0,3.0,2.0,4.0,6.0,11.0
Anthony Avent,98--99,UTA,18.0,0.4,2.0,5.0,,0.0,0.0,0.5,1.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,2.0,3.0,5.0
Anthony Avent,95--96,VAN,43.0,1.0,8.0,13.0,,0.0,0.0,1.0,5.0,6.0,15.0,6.0,11.0,7.0,3.0,3.0,6.0,6.0,16.0
Anthony Avent,94--95,ORL,35.0,1.0,5.0,12.0,,0.0,0.0,1.0,4.0,6.0,11.0,5.0,9.0,4.0,3.0,5.0,4.0,6.0,11.0
Anthony Avent,93--94,TOT,39.0,1.0,8.0,16.0,,0.0,0.0,1.0,7.0,8.0,17.0,8.0,9.0,4.0,4.0,2.0,5.0,5.0,19.0
Anthony Avent,93--94,ORL,38.0,1.0,5.0,14.0,,0.0,0.0,1.0,3.0,4.0,12.0,7.0,9.0,4.0,3.0,2.0,4.0,5.0,13.0
Anthony Avent,93--94,MIL,39.0,1.0,8.0,16.0,,0.0,0.0,1.0,7.0,8.0,17.0,8.0,9.0,4.0,4.0,2.0,5.0,4.0,19.0
Anthony Avent,92--93,MIL,43.0,1.0,12.0,18.0,0.0,0.0,1.0,1.0,8.0,12.0,15.0,7.0,11.0,3.0,3.0,4.0,7.0,5.0,28.0
Isaac Austin,01--02,MEM,35.0,1.0,5.0,10.0,0.0,0.0,1.0,1.0,2.0,2.0,10.0,3.0,9.0,3.0,1.0,2.0,2.0,5.0,10.0
Isaac Austin,00--01,VAN,33.0,0.8,6.0,17.0,1.0,1.0,3.0,1.0,8.0,10.0,13.0,6.0,10.0,5.0,2.0,2.0,5.0,5.0,15.0
