姓名,赛季,球队,执教,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负,胜率
Rick Adelman,08--09,HOU,13,0.447,34.0,76.1,0.328,6.6,20.2,0.768,16.8,21.9,40.5,9.7,30.8,17.0,6.2,3.2,13.1,20.1,91.5,7,6,0.5379999999999999
Rick Adelman,07--08,HOU,6,0.409,32.2,78.7,0.292,5.8,20.0,0.682,17.8,26.2,42.0,13.0,29.0,15.5,6.8,5.5,10.3,21.2,88.0,2,4,0.33299999999999996
Rick Adelman,05--06,SAC,6,0.443,34.7,78.2,0.33,5.2,15.7,0.792,22.8,28.8,38.3,12.3,26.0,15.3,7.5,2.5,12.7,26.0,97.3,2,4,0.33299999999999996
Rick Adelman,04--05,SAC,5,0.445,38.4,86.2,0.279,5.8,20.8,0.797,19.6,24.6,36.0,13.0,23.0,20.2,6.2,4.0,11.0,25.8,102.2,1,4,0.2
Rick Adelman,03--04,SAC,12,0.425,35.3,82.9,0.348,5.8,16.8,0.758,18.8,24.8,44.0,10.9,33.1,22.8,9.4,3.7,13.8,21.1,95.2,7,5,0.583
Rick Adelman,02--03,SAC,12,0.459,39.3,85.5,0.3670000000000001,6.8,18.4,0.777,22.7,29.2,44.3,12.8,31.5,22.6,7.5,4.8,12.8,23.0,107.9,7,5,0.583
Rick Adelman,01--02,SAC,16,0.448,36.9,82.5,0.308,5.0,16.3,0.741,22.2,29.9,45.6,12.9,32.6,20.6,7.5,4.7,14.3,23.8,101.1,10,6,0.625
Rick Adelman,00--01,SAC,8,0.403,34.6,86.0,0.35100000000000003,5.0,14.3,0.8170000000000001,23.4,28.6,47.6,15.1,32.5,16.8,8.1,5.3,16.4,24.3,97.6,3,5,0.375
Rick Adelman,99--00,SAC,5,0.415,33.6,81.0,0.379,6.6,17.4,0.753,22.6,30.0,41.2,11.8,29.4,16.8,6.8,3.6,11.4,22.0,96.4,2,3,0.4
Rick Adelman,98--99,SAC,5,0.407,32.4,79.6,0.279,6.2,22.2,0.742,19.6,26.4,41.4,12.8,28.6,18.2,10.6,4.4,17.6,23.8,90.6,2,3,0.4
Rick Adelman,93--94,POR,4,0.446,41.0,92.0,0.28600000000000003,3.0,10.5,0.7809999999999999,18.8,24.0,45.0,16.3,28.8,23.5,8.8,4.5,11.3,20.5,103.8,1,3,0.25
Rick Adelman,92--93,POR,4,0.407,36.5,89.8,0.306,2.8,9.0,0.723,21.5,29.8,46.5,17.8,28.8,19.3,6.8,5.8,12.3,25.3,97.3,1,3,0.25
Rick Adelman,91--92,POR,21,0.482,40.4,83.8,0.353,3.7,10.5,0.7509999999999999,25.5,33.9,42.6,13.9,28.7,25.8,8.8,4.6,15.2,26.3,110.0,13,8,0.619
Rick Adelman,90--91,POR,16,0.47,38.8,82.6,0.306,2.8,9.0,0.736,23.5,31.9,42.5,15.1,27.4,23.5,8.1,3.6,14.8,23.5,103.9,9,7,0.563
Rick Adelman,89--90,POR,21,0.445,39.3,88.4,0.333,3.1,9.3,0.727,25.4,34.9,44.2,15.5,28.7,23.5,8.7,5.4,15.7,26.7,107.1,12,9,0.5710000000000001
Rick Adelman,88--89,POR,3,0.454,42.7,94.0,0.31,3.0,9.7,0.757,18.7,24.7,41.3,17.7,23.7,27.0,7.0,5.3,13.0,24.7,107.0,0,3,0.0
Richie Adubato,96--97,ORL,5,0.408,29.8,73.0,0.322,5.8,18.0,0.746,18.8,25.2,37.6,9.6,28.0,13.2,6.4,5.0,11.4,19.0,84.2,2,3,0.4
Richie Adubato,89--90,DAL,3,0.473,38.3,81.0,0.31,3.0,9.7,0.765,20.7,27.0,40.0,11.3,28.7,20.3,8.0,5.7,17.7,27.3,100.3,0,3,0.0
Danny Ainge,98--99,PHO,3,0.43,34.7,80.7,0.375,7.0,18.7,0.738,16.0,21.7,33.0,10.3,22.7,22.3,10.3,2.3,13.7,29.0,92.3,0,3,0.0
Danny Ainge,97--98,PHO,4,0.434,37.0,85.3,0.333,4.3,12.8,0.6940000000000001,14.8,21.3,40.5,12.0,28.5,19.8,8.5,4.0,11.0,25.0,93.0,1,3,0.25
Danny Ainge,96--97,PHO,5,0.416,34.4,82.6,0.35200000000000004,10.2,29.0,0.763,21.2,27.8,40.4,10.0,30.4,22.8,8.2,5.2,16.0,22.0,100.2,2,3,0.4
Stan Albeck,85--86,CHI,3,0.462,42.7,92.3,0.25,0.7,2.7,0.7709999999999999,27.0,35.0,39.7,13.7,26.0,17.0,8.0,3.7,14.3,30.7,113.0,0,3,0.0
Stan Albeck,84--85,NJN,3,,,,,,,,,,,,,,,,,,,0,3,0.0
Stan Albeck,83--84,NJN,11,,,,,,,,,,,,,,,,,,,5,6,0.455
Stan Albeck,82--83,SAS,11,,,,,,,,,,,,,,,,,,,6,5,0.545
Stan Albeck,81--82,SAS,9,,,,,,,,,,,,,,,,,,,4,5,0.444
Stan Albeck,80--81,SAS,7,,,,,,,,,,,,,,,,,,,3,4,0.429
Al Attles,76--77,GSW,10,,,,,,,,,,,,,,,,,,,5,5,0.5
Al Attles,75--76,GSW,13,,,,,,,,,,,,,,,,,,,7,6,0.5379999999999999
Al Attles,74--75,GSW,17,,,,,,,,,,,,,,,,,,,12,5,0.706
Al Attles,72--73,GSW,11,,,,,,,,,,,,,,,,,,,5,6,0.455
Al Attles,71--72,GSW,5,,,,,,,,,,,,,,,,,,,1,4,0.2
Al Attles,70--71,SFW,5,,,,,,,,,,,,,,,,,,,1,4,0.2
Red Auerbach,65--66,BOS,17,,,,,,,,,,,,,,,,,,,11,6,0.647
Red Auerbach,64--65,BOS,12,,,,,,,,,,,,,,,,,,,8,4,0.667
Red Auerbach,63--64,BOS,10,,,,,,,,,,,,,,,,,,,8,2,0.8
Red Auerbach,62--63,BOS,13,,,,,,,,,,,,,,,,,,,8,5,0.615
Red Auerbach,61--62,BOS,14,,,,,,,,,,,,,,,,,,,8,6,0.5710000000000001
Red Auerbach,60--61,BOS,10,,,,,,,,,,,,,,,,,,,8,2,0.8
Red Auerbach,59--60,BOS,13,,,,,,,,,,,,,,,,,,,8,5,0.615
Red Auerbach,58--59,BOS,11,,,,,,,,,,,,,,,,,,,8,3,0.727
Red Auerbach,57--58,BOS,11,,,,,,,,,,,,,,,,,,,6,5,0.545
Red Auerbach,56--57,BOS,10,,,,,,,,,,,,,,,,,,,7,3,0.7
Red Auerbach,55--56,BOS,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Red Auerbach,54--55,BOS,7,,,,,,,,,,,,,,,,,,,3,4,0.429
Red Auerbach,53--54,BOS,6,,,,,,,,,,,,,,,,,,,2,4,0.33299999999999996
Red Auerbach,52--53,BOS,6,,,,,,,,,,,,,,,,,,,3,3,0.5
Red Auerbach,51--52,BOS,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Red Auerbach,50--51,BOS,2,,,,,,,,,,,,,,,,,,,0,2,0.0
Red Auerbach,49--50,TRI,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Ed Badger,76--77,CHI,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Cliff Barker,49--50,INO,6,,,,,,,,,,,,,,,,,,,3,3,0.5
Bob Bass,91--92,SAS,3,0.486,41.0,84.3,0.417,3.3,8.0,0.667,18.0,27.0,38.0,14.0,24.0,17.7,7.7,8.7,14.7,24.0,103.3,0,3,0.0
Bob Bass,79--80,SAS,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Bernie Bickerstaff,96--97,WSB,3,0.474,34.0,71.7,0.419,4.3,10.3,0.782,22.7,29.0,35.7,11.3,24.3,17.0,4.7,6.3,17.7,25.7,95.0,0,3,0.0
Bernie Bickerstaff,94--95,DEN,3,0.429,33.3,77.7,0.245,4.3,17.7,0.7859999999999999,22.0,28.0,41.0,14.0,27.0,20.0,6.0,7.0,16.7,35.0,93.0,0,3,0.0
Bernie Bickerstaff,88--89,SEA,8,0.454,39.9,87.9,0.263,2.6,10.0,0.71,19.6,27.6,43.8,17.4,26.4,23.3,8.6,7.5,15.5,27.3,102.0,3,5,0.375
Bernie Bickerstaff,87--88,SEA,5,0.516,46.0,89.2,0.282,2.2,7.8,0.7040000000000001,20.0,28.4,44.6,13.8,30.8,27.6,5.2,4.0,14.8,29.8,114.2,2,3,0.4
Bernie Bickerstaff,86--87,SEA,14,0.461,43.1,93.6,0.319,2.1,6.7,0.7490000000000001,21.7,29.0,44.1,17.4,26.7,27.1,8.6,5.6,13.7,29.4,110.1,7,7,0.5
Paul Birch,53--54,FTW,4,,,,,,,,,,,,,,,,,,,0,4,0.0
Paul Birch,52--53,FTW,8,,,,,,,,,,,,,,,,,,,4,4,0.5
Paul Birch,51--52,FTW,2,,,,,,,,,,,,,,,,,,,0,2,0.0
Larry Bird,99--00,IND,23,0.443,35.0,78.9,0.379,7.1,18.8,0.8270000000000001,21.0,25.4,40.5,10.1,30.4,20.3,5.4,4.7,10.8,23.4,98.1,13,10,0.565
Larry Bird,98--99,IND,13,0.441,32.8,74.2,0.363,6.5,18.0,0.763,21.5,28.2,41.5,11.6,29.8,20.7,6.6,5.2,15.3,26.0,93.6,9,4,0.6920000000000001
Larry Bird,97--98,IND,16,0.46,32.0,69.6,0.375,5.4,14.5,0.76,22.3,29.4,35.3,9.3,26.0,19.1,7.2,4.9,13.8,24.8,91.8,10,6,0.625
Bill Blair,82--83,NJN,2,,,,,,,,,,,,,,,,,,,0,2,0.0
Jim Boylan,12--13,MIL,4,0.433,33.3,76.8,0.261,6.0,23.0,0.63,12.8,20.3,34.8,8.8,26.0,19.8,10.0,2.5,15.8,19.8,85.3,0,4,0.0
Allan Bristow,94--95,CHH,4,0.424,31.5,74.3,0.313,5.3,16.8,0.8079999999999999,24.3,30.0,37.3,13.5,23.8,21.3,6.0,5.0,14.5,23.5,92.5,1,3,0.25
Allan Bristow,92--93,CHH,9,0.466,40.3,86.6,0.271,1.4,5.3,0.718,20.3,28.3,41.6,14.3,27.2,24.0,10.1,4.9,15.0,22.4,102.4,4,5,0.444
Scott Brooks,16--17,WAS,13,0.457,40.1,87.6,0.317,8.4,26.5,0.794,19.5,24.6,43.0,11.2,31.8,22.8,7.9,6.7,13.1,23.0,108.1,7,6,0.5379999999999999
Scott Brooks,13--14,OKC,19,0.45,36.6,81.4,0.32299999999999995,7.5,23.3,0.82,21.8,26.6,45.2,11.2,34.1,19.3,6.3,6.2,14.8,23.0,102.5,10,9,0.526
Scott Brooks,12--13,OKC,11,0.4270000000000001,34.8,81.6,0.349,8.6,24.7,0.838,20.2,24.1,42.9,9.8,33.1,18.1,6.0,7.0,13.0,24.9,98.5,5,6,0.455
Scott Brooks,11--12,OKC,20,0.465,37.2,80.0,0.355,6.8,19.2,0.82,20.1,24.5,39.8,9.3,30.5,18.0,8.7,6.9,11.2,22.4,101.3,13,7,0.65
Scott Brooks,10--11,OKC,17,0.443,35.3,79.7,0.316,6.3,19.9,0.816,25.6,31.4,45.9,13.1,32.9,17.6,6.8,7.6,14.9,25.0,102.5,9,8,0.529
Scott Brooks,09--10,OKC,6,0.391,30.7,78.5,0.297,5.5,18.5,0.835,27.0,32.3,43.3,11.7,31.7,16.2,6.5,6.2,11.3,22.8,93.8,2,4,0.33299999999999996
Herb Brown,76--77,DET,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Herb Brown,75--76,DET,9,,,,,,,,,,,,,,,,,,,4,5,0.444
Hubie Brown,03--04,MEM,4,0.424,30.8,72.5,0.294,3.8,12.8,0.777,18.3,23.5,34.5,9.5,25.0,14.5,9.5,5.0,14.0,25.0,83.5,0,4,0.0
Hubie Brown,83--84,NYK,12,,,,,,,,,,,,,,,,,,,6,6,0.5
Hubie Brown,82--83,NYK,6,,,,,,,,,,,,,,,,,,,2,4,0.33299999999999996
Hubie Brown,79--80,ATL,5,,,,,,,,,,,,,,,,,,,1,4,0.2
Hubie Brown,78--79,ATL,9,,,,,,,,,,,,,,,,,,,5,4,0.556
Hubie Brown,77--78,ATL,2,,,,,,,,,,,,,,,,,,,0,2,0.0
Larry Brown,09--10,CHA,4,0.443,31.3,70.5,0.279,4.8,17.0,0.716,18.3,25.5,36.5,8.5,28.0,20.3,5.5,4.5,14.3,26.8,85.5,0,4,0.0
Larry Brown,04--05,DET,25,0.4370000000000001,34.5,79.0,0.326,4.5,13.9,0.742,16.8,22.6,42.3,12.4,29.9,20.5,7.3,6.1,11.5,21.0,90.3,15,10,0.6
Larry Brown,03--04,DET,23,0.412,31.4,76.3,0.304,4.2,13.9,0.7340000000000001,20.1,27.3,44.8,12.9,32.0,19.4,8.0,7.1,13.8,22.5,87.1,16,7,0.696
Larry Brown,02--03,PHI,12,0.443,33.7,75.9,0.35200000000000004,3.8,10.7,0.8029999999999999,21.0,26.2,41.8,12.1,29.8,18.9,7.2,2.5,14.3,23.9,92.1,6,6,0.5
Larry Brown,01--02,PHI,5,0.413,30.4,73.6,0.308,4.0,13.0,0.7559999999999999,24.2,32.0,41.2,12.6,28.6,19.4,9.0,4.0,13.4,18.6,89.0,2,3,0.4
Larry Brown,00--01,PHI,23,0.421,34.0,80.8,0.336,3.8,11.4,0.7609999999999999,20.4,26.9,43.9,14.1,29.7,20.0,8.0,4.9,11.7,20.7,92.3,12,11,0.522
Larry Brown,99--00,PHI,10,0.428,34.2,80.0,0.317,3.9,12.3,0.742,21.9,29.5,42.4,13.5,28.9,19.1,6.5,4.5,11.5,22.6,94.2,5,5,0.5
Larry Brown,98--99,PHI,8,0.422,34.6,82.1,0.238,2.5,10.5,0.7140000000000001,17.5,24.5,44.4,16.9,27.5,19.0,10.4,5.1,12.9,25.5,89.3,3,5,0.375
Larry Brown,95--96,IND,5,0.44,32.4,73.6,0.298,3.4,11.4,0.77,18.8,24.4,42.2,14.0,28.2,17.2,8.4,3.2,17.8,23.2,87.0,2,3,0.4
Larry Brown,94--95,IND,17,0.459,33.9,73.9,0.36,5.5,15.4,0.77,25.2,32.8,41.4,13.4,28.1,20.6,5.5,3.4,15.2,27.0,98.6,10,7,0.588
Larry Brown,93--94,IND,16,0.445,33.3,74.7,0.381,3.7,9.7,0.725,20.1,27.7,40.5,13.4,27.1,21.7,9.2,4.2,16.4,24.8,90.3,10,6,0.625
Larry Brown,92--93,LAC,5,0.424,37.4,88.2,0.429,2.4,5.6,0.647,15.0,23.2,42.8,14.6,28.2,23.6,11.0,4.2,13.6,23.0,92.2,2,3,0.4
Larry Brown,91--92,LAC,5,0.48,39.0,81.2,0.259,1.4,5.4,0.7070000000000001,18.8,26.6,40.6,13.4,27.2,22.2,6.0,5.6,12.8,25.8,98.2,2,3,0.4
Larry Brown,90--91,SAS,4,0.486,40.5,83.3,0.115,0.8,6.5,0.754,26.0,34.5,43.3,12.0,31.3,26.5,9.5,5.8,17.0,23.3,107.8,1,3,0.25
Larry Brown,89--90,SAS,10,0.503,47.9,95.3,0.172,0.5,2.9,0.7020000000000001,20.7,29.5,48.3,15.6,32.7,30.4,8.5,6.2,16.4,27.7,117.0,6,4,0.6
Larry Brown,81--82,NJN,2,,,,,,,,,,,,,,,,,,,0,2,0.0
Larry Brown,77--78,DEN,13,,,,,,,,,,,,,,,,,,,6,7,0.462
Larry Brown,76--77,DEN,6,,,,,,,,,,,,,,,,,,,2,4,0.33299999999999996
Mike Brown,11--12,LAL,12,0.423,35.2,83.2,0.304,5.3,17.3,0.778,18.4,23.7,44.8,14.2,30.7,18.8,5.8,7.8,11.8,19.7,94.0,5,7,0.41700000000000004
Mike Brown,09--10,CLE,11,0.469,34.9,74.5,0.348,7.2,20.6,0.741,23.2,31.3,39.7,8.6,31.1,21.1,6.1,6.6,14.5,21.9,100.2,6,5,0.545
Mike Brown,08--09,CLE,14,0.463,34.8,75.1,0.336,6.6,19.8,0.742,21.4,28.8,40.3,10.1,30.2,19.1,6.6,4.6,11.2,20.6,97.6,10,4,0.7140000000000001
Mike Brown,07--08,CLE,13,0.42,31.1,74.1,0.345,6.7,19.4,0.721,21.1,29.2,40.9,11.8,29.2,20.2,6.0,4.8,12.8,22.1,89.9,7,6,0.5379999999999999
Mike Brown,06--07,CLE,20,0.421,32.1,76.3,0.326,5.4,16.6,0.737,19.2,26.1,43.3,11.9,31.4,17.5,7.2,3.5,12.3,20.7,88.8,12,8,0.6
Mike Brown,05--06,CLE,13,0.4370000000000001,33.6,76.8,0.32,4.2,13.2,0.764,18.9,24.8,42.2,12.5,29.8,16.2,6.5,4.2,13.5,24.6,90.4,7,6,0.5379999999999999
Philip Brownstein,49--50,CHS,2,,,,,,,,,,,,,,,,,,,0,2,0.0
