姓名,赛季,球队,执教,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负,胜率
Rick Adelman,13--14,MIN,82,0.444,38.9,87.5,0.341,7.3,21.5,0.778,21.8,28.1,44.7,12.5,32.2,24.0,8.8,3.6,13.5,18.3,106.9,40,42,0.488
Rick Adelman,12--13,MIN,82,0.439,35.9,81.7,0.305,5.5,18.0,0.742,18.5,24.9,42.0,11.9,30.1,22.4,8.5,4.7,14.1,18.4,95.7,31,51,0.37799999999999995
Rick Adelman,11--12,MIN,66,0.433,35.7,82.3,0.332,7.2,21.6,0.7709999999999999,19.4,25.2,43.7,12.1,31.7,19.5,6.6,4.4,14.7,18.4,97.9,26,40,0.39399999999999996
Rick Adelman,10--11,HOU,82,0.454,38.7,85.1,0.3670000000000001,8.3,22.5,0.8009999999999999,20.3,25.4,42.8,11.7,31.1,23.8,7.1,4.5,12.8,20.0,105.9,43,39,0.524
Rick Adelman,09--01,HOU,82,0.447,37.7,84.4,0.35100000000000003,7.9,22.4,0.772,19.0,24.7,42.0,11.8,30.1,21.8,7.1,3.9,13.8,20.9,102.4,42,40,0.512
Rick Adelman,08--09,HOU,82,0.453,36.1,79.6,0.375,7.6,20.2,0.805,18.7,23.2,43.0,10.5,32.5,20.3,6.7,4.3,13.3,18.9,98.4,53,29,0.6459999999999999
Rick Adelman,07--08,HOU,82,0.448,36.6,81.7,0.342,7.1,20.8,0.726,16.4,22.5,44.6,12.2,32.4,21.4,7.3,5.1,13.1,19.6,96.7,55,27,0.6709999999999999
Rick Adelman,05--06,SAC,82,0.454,36.0,79.3,0.35100000000000003,6.0,17.2,0.784,20.8,26.5,40.5,10.4,30.2,22.3,7.4,3.6,14.0,20.4,98.9,44,38,0.537
Rick Adelman,04--05,SAC,82,0.459,39.1,85.1,0.374,6.4,17.0,0.787,19.2,24.4,42.4,12.5,29.9,24.5,8.2,3.9,12.6,20.5,103.7,50,32,0.61
Rick Adelman,03--04,SAC,82,0.462,37.8,81.8,0.401,7.3,18.3,0.795,19.8,24.9,41.2,10.8,30.4,26.2,8.7,4.0,13.5,19.3,102.8,55,27,0.6709999999999999
Rick Adelman,02--03,SAC,82,0.464,39.5,85.3,0.381,6.0,15.7,0.746,16.7,22.3,44.5,11.0,33.5,24.8,9.0,5.6,14.3,20.3,101.7,59,23,0.72
Rick Adelman,01--02,SAC,82,0.467,39.8,85.4,0.3670000000000001,5.2,14.1,0.7509999999999999,19.7,26.3,45.3,12.4,33.0,23.9,9.0,4.6,13.4,19.0,104.6,61,21,0.7440000000000001
Rick Adelman,00--01,SAC,82,0.449,38.2,85.0,0.354,5.8,16.5,0.7709999999999999,19.5,25.3,45.0,12.0,33.0,22.6,9.7,5.3,14.4,19.5,101.7,55,27,0.6709999999999999
Rick Adelman,99--00,SAC,82,0.45,40.0,88.9,0.322,6.5,20.2,0.754,18.5,24.6,45.0,12.9,32.1,23.8,9.6,4.6,15.8,21.1,105.0,44,38,0.537
Rick Adelman,98--99,SAC,50,0.445,38.4,86.1,0.308,5.8,18.9,0.6829999999999999,17.7,25.9,45.6,14.1,31.5,22.6,8.9,4.6,16.5,20.3,100.2,27,23,0.54
Rick Adelman,96--97,GSW,82,0.456,36.5,80.1,0.353,5.9,16.6,0.778,20.7,26.6,40.8,13.3,27.5,22.1,7.5,4.3,16.5,21.8,99.6,30,52,0.366
Rick Adelman,95--96,GSW,82,0.456,37.3,81.7,0.373,5.5,14.6,0.759,21.6,28.5,42.2,14.3,27.9,23.0,8.6,5.7,15.8,22.4,101.6,36,46,0.439
Rick Adelman,93--94,POR,82,0.454,41.1,90.6,0.353,3.3,9.4,0.743,21.7,29.2,45.9,15.9,30.0,25.2,9.1,5.0,14.4,22.3,107.3,47,35,0.573
Rick Adelman,92--93,POR,82,0.458,41.0,89.5,0.326,3.4,10.3,0.745,23.2,31.1,45.5,15.0,30.6,24.0,9.4,5.2,14.5,23.1,108.5,51,31,0.622
Rick Adelman,91--92,POR,82,0.473,42.4,89.7,0.344,4.0,11.5,0.754,22.7,30.0,46.9,15.8,31.1,25.2,9.2,5.0,15.8,24.2,111.4,57,25,0.695
Rick Adelman,90--91,POR,82,0.485,43.6,89.9,0.377,4.2,11.0,0.753,23.3,31.0,45.9,14.7,31.2,27.5,8.8,5.0,15.7,24.1,114.7,63,19,0.768
Rick Adelman,89--90,POR,82,0.473,43.6,92.0,0.336,2.3,6.9,0.743,24.8,33.3,47.6,16.5,31.1,25.4,9.1,4.4,16.3,25.0,114.2,59,23,0.72
Rick Adelman,88--89,POR,35,0.463,45.1,97.4,0.318,3.1,9.6,0.738,20.7,28.1,48.2,18.9,29.3,26.4,9.8,5.0,16.8,24.8,114.1,14,21,0.4
Richie Adubato,96--97,ORL,33,0.445,35.1,78.9,0.341,7.6,22.3,0.779,18.9,24.3,39.0,12.0,26.9,20.6,9.4,4.5,13.2,19.1,96.8,21,12,0.636
Richie Adubato,92--93,DAL,29,0.423,38.4,90.8,0.354,3.3,9.3,0.693,19.7,28.4,42.6,15.1,27.5,20.6,8.1,4.3,16.6,29.2,99.8,2,27,0.069
Richie Adubato,91--92,DAL,82,0.439,38.0,86.6,0.336,3.3,9.7,0.75,18.3,24.4,44.3,14.6,29.7,19.9,6.5,4.3,14.2,22.8,97.6,22,60,0.268
Richie Adubato,90--91,DAL,82,0.471,39.6,84.0,0.322,2.4,7.3,0.7609999999999999,18.4,24.2,40.8,12.0,28.8,22.2,7.1,4.8,14.0,22.4,99.9,28,54,0.341
Richie Adubato,89--90,DAL,71,0.477,40.0,83.8,0.335,2.1,6.2,0.764,20.6,26.9,42.2,12.6,29.5,21.9,8.2,4.8,14.1,21.1,102.6,42,29,0.5920000000000001
