,XH,午餐平均消费,早餐次数,洗澡花销,洗澡次数,成绩等级
0,201400001,9.150545455,29,12.39,3,15
1,201400003,10.49883117,137,307.44,109,15
2,201400004,9.234351145,5,44.45,14,15
3,201400005,9.738125,18,56.42,20,10
4,201400007,12.80490566,101,103.39,31,20
5,201400008,13.1175,2,6.44,2,10
6,201400009,6.76,38,194.32,38,10
7,201400045,8.540625,2,178.71,34,20
8,201400046,11.33023256,46,130.27,43,10
9,201400047,11.8625,6,161.42,45,10
10,201400048,9.618333333,26,3.43,1,15
11,201400049,12.116,21,199.01,38,10
12,201400056,5.75,8,128.17,58,20
13,201400058,5.3,2,123.41,15,20
14,201400094,11.59909091,1,54.88,11,10
15,201400099,9.487575758,7,118.02,24,10
16,201400142,14.71703704,14,45.99,12,15
17,201400145,10.15,10,63.91,13,10
18,201400146,10.01428571,2,197.12,34,20
19,201400147,12.49047619,16,154.98,30,15
20,201400148,12.76153846,2,3.78,1,20
21,201400149,13.11666667,20,189.42,35,20
22,201401012,18,1,21.49,5,20
23,201401014,16.73037037,45,75.81,35,20
24,201401015,10.33064516,10,103.18,17,20
25,201401016,8.246,2,91.42,21,20
26,201401018,9.73490566,1,82.18,30,20
27,201401019,6.377777778,3,42.49,8,20
28,201401111,9.291351351,43,81.76,17,20
29,201401113,11.22222222,28,112.07,24,20
30,201401115,7.571428571,12,166.04,29,20
31,201401116,8.96875,20,64.26,13,20
32,201401117,5.117875,97,129.78,18,20
33,201401118,9.881142857,16,221.03,49,20
34,201401119,11.9,27,145.32,27,20
35,201402054,12.3597619,6,69.02,18,20
36,201402074,10.11542373,3,21.49,11,15
37,201402094,13.28532258,16,16.81,3,15
38,201402137,9.875,4,16.66,9,20
39,201402140,9.386363636,31,68.95,19,20
40,201403066,10.73375,1,54.53,10,15
41,201404001,11.62944444,38,52.92,19,20
42,201404002,8.560465116,5,29.89,7,20
43,201404003,12.08705882,53,19.81,5,20
44,201404004,11.30753247,69,32.55,16,20
45,201404005,11.36113636,52,45.08,6,20
46,201404006,9.970625,15,117.95,16,20
47,201404007,11.431875,18,3.01,1,20
48,201404008,10.31698113,15,3.36,1,20
49,201404012,8.54787234,35,66.22,11,20
50,201404013,10.37354839,17,153.51,49,20
51,201404014,10.46178571,29,57.75,18,30
52,201404015,11.11979167,54,72.8,16,20
53,201404016,7.712641509,33,72.8,16,20
54,201404018,11.885,48,51.87,14,20
55,201404019,11.52324324,9,34.58,11,20
56,201404031,12.91944444,1,41.09,12,10
57,201404052,23.56666667,2,27.93,7,20
58,201404053,11.44715909,47,9.52,3,20
59,201404057,10.35890411,11,5.25,1,20
60,201404058,9.335365854,26,4.83,2,20
