,x,y
401,200.5,0.0026
402,201.0,0.00233
403,201.5,0.00278
404,202.0,0.00277
405,202.5,0.00275
406,203.0,0.00264
407,203.5,0.00249
408,204.0,0.0021899999999999997
409,204.5,0.0016899999999999999
410,205.0,0.00183
411,205.5,0.00149
412,206.0,0.0018100000000000002
413,206.5,0.00172
414,207.0,0.00195
415,207.5,0.0019399999999999999
416,208.0,0.0016699999999999998
417,208.5,0.00162
418,209.0,0.00143
419,209.5,0.0013
420,210.0,0.00157
421,210.5,0.0017
422,211.0,0.0017
423,211.5,0.00176
424,212.0,0.00234
425,212.5,0.0025399999999999997
426,213.0,0.00234
427,213.5,0.0022
428,214.0,0.00217
429,214.5,0.00224
430,215.0,0.00227
431,215.5,0.0023899999999999998
432,216.0,0.0025
433,216.5,0.0017399999999999998
434,217.0,0.0016699999999999998
435,217.5,0.0014
436,218.0,0.0012900000000000001
437,218.5,0.00148
438,219.0,0.0019399999999999999
439,219.5,0.00199
440,220.0,0.0021100000000000003
441,220.5,0.0018100000000000002
442,221.0,0.00132
443,221.5,0.00123
444,222.0,0.001
445,222.5,0.00112
446,223.0,0.00109
447,223.5,0.00103
448,224.0,0.0008300000000000001
449,224.5,0.0007
450,225.0,0.0003
451,225.5,0.00023999999999999998
452,226.0,-2.9999999999999997e-05
453,226.5,0.00029
454,227.0,0.0002
455,227.5,0.00029
456,228.0,0.00067
457,228.5,0.00078
458,229.0,0.0007
459,229.5,0.00075
460,230.0,0.00032
461,230.5,0.00036
462,231.0,0.00027
463,231.5,0.00041
464,232.0,0.00028
465,232.5,0.00016999999999999999
466,233.0,-0.00022
467,233.5,-0.00053
468,234.0,-0.00028
469,234.5,-0.00063
470,235.0,-0.00021
471,235.5,-0.00033
472,236.0,-0.00033999999999999997
473,236.5,-1e-05
474,237.0,-5.9999999999999995e-05
475,237.5,-2.9999999999999997e-05
476,238.0,-0.00014
477,238.5,-0.00021
478,239.0,-0.00032
479,239.5,-0.00016
480,240.0,-7e-05
481,240.5,2.9999999999999997e-05
482,241.0,8e-05
483,241.5,0.00028
484,242.0,0.00029
485,242.5,0.00013000000000000002
486,243.0,0.00035
487,243.5,8e-05
488,244.0,2.9999999999999997e-05
489,244.5,0.00043
490,245.0,0.0006900000000000001
491,245.5,0.00091
492,246.0,0.0006900000000000001
493,246.5,0.00029
494,247.0,2e-05
495,247.5,0.0
496,248.0,5.9999999999999995e-05
497,248.5,0.00047000000000000004
498,249.0,0.00067
499,249.5,0.0006
500,250.0,0.0005099999999999999
501,250.5,0.00037999999999999997
502,251.0,0.00039
503,251.5,0.00045
504,252.0,0.00036
505,252.5,0.00023999999999999998
506,253.0,0.00037999999999999997
507,253.5,0.00053
508,254.0,0.00074
509,254.5,0.00079
510,255.0,0.0007599999999999999
511,255.5,0.0008900000000000001
512,256.0,0.00103
513,256.5,0.00172
514,257.0,0.00175
515,257.5,0.00176
516,258.0,0.0017699999999999999
517,258.5,0.00172
518,259.0,0.00175
519,259.5,0.00148
520,260.0,0.00085
521,260.5,0.00106
522,261.0,0.00123
523,261.5,0.00144
524,262.0,0.00128
525,262.5,0.00082
526,263.0,0.0006
527,263.5,0.00054
528,264.0,0.00084
529,264.5,0.0009699999999999999
530,265.0,0.00067
531,265.5,0.00037
532,266.0,-0.00029
533,266.5,-0.00058
534,267.0,-0.0008900000000000001
535,267.5,-0.00118
536,268.0,-0.00109
537,268.5,-0.0012
538,269.0,-0.00146
539,269.5,-0.0016
540,270.0,-0.00156
541,270.5,-0.00157
542,271.0,-0.00168
543,271.5,-0.00215
544,272.0,-0.00235
545,272.5,-0.00248
546,273.0,-0.00283
547,273.5,-0.00315
548,274.0,-0.00316
549,274.5,-0.00355
550,275.0,-0.0034100000000000003
551,275.5,-0.00317
552,276.0,-0.00303
553,276.5,-0.00288
554,277.0,-0.00285
555,277.5,-0.0029
556,278.0,-0.00262
557,278.5,-0.00213
558,279.0,-0.0022600000000000003
559,279.5,-0.0022199999999999998
560,280.0,-0.00206
561,280.5,-0.00199
562,281.0,-0.00195
563,281.5,-0.0017100000000000001
564,282.0,-0.00187
565,282.5,-0.0015
566,283.0,-0.00179
567,283.5,-0.00183
568,284.0,-0.00231
569,284.5,-0.0028399999999999996
570,285.0,-0.0025399999999999997
571,285.5,-0.00259
572,286.0,-0.00245
573,286.5,-0.00242
574,287.0,-0.0021100000000000003
575,287.5,-0.00149
576,288.0,-0.00145
577,288.5,-0.00151
578,289.0,-0.00164
579,289.5,-0.00198
580,290.0,-0.002
581,290.5,-0.00205
582,291.0,-0.0021
583,291.5,-0.00197
584,292.0,-0.00218
585,292.5,-0.002
586,293.0,-0.0018
587,293.5,-0.0014199999999999998
588,294.0,-0.00128
589,294.5,-0.00091
590,295.0,-0.00073
591,295.5,-0.0006
592,296.0,-0.00125
593,296.5,-0.00156
594,297.0,-0.00164
595,297.5,-0.0016300000000000002
596,298.0,-0.0016699999999999998
597,298.5,-0.00198
598,299.0,-0.0017
599,299.5,-0.0016
600,300.0,-0.0017800000000000001
