x坐标, y坐标
0,0
0.5,0
1,-2.00E-05
1.5,-3.00E-05
2,-0.00013
2.5,-0.00028
3,-0.00038
3.5,-0.00054
4,-0.00053
4.5,-0.00067
5,-0.00071
5.5,-0.00029
6,-0.00018
6.5,-0.00033
7,-0.00031
7.5,-0.00047
8,-0.00063
8.5,-0.00027
9,-0.0003
9.5,0.00019
10,-0.00024
10.5,-0.00018
11,-0.00019
11.5,-0.00023
12,-0.00028
12.5,-0.00062
13,-0.00055
13.5,-0.00059
14,-0.0008
14.5,-0.00093
15,-0.00104
15.5,-0.00135
16,-0.0016
16.5,-0.0018
17,-0.00181
17.5,-0.00176
18,-0.00175
18.5,-0.00171
19,-0.00181
19.5,-0.00171
20,-0.00158
20.5,-0.00236
21,-0.00246
21.5,-0.00238
22,-0.00247
22.5,-0.00198
23,-0.0014
23.5,-0.00131
24,-0.00116
24.5,-0.0013
25,-0.0013
25.5,-0.0011
26,-0.00114
26.5,-0.00125
27,-0.00116
27.5,-0.00118
28,-0.00138
28.5,-0.00116
29,-0.00109
29.5,-0.00067
30,-0.00054
30.5,-0.0003
31,-0.0005
31.5,-0.00071
32,-0.00062
32.5,-0.00055
33,-0.00076
33.5,-0.00043
34,-0.00045
34.5,-0.00036
35,-0.00068
35.5,-0.00068
36,-0.00069
36.5,-0.00054
37,-0.00029
37.5,-0.00036
38,-0.0005
38.5,-0.0003
39,-0.00034
39.5,-6.00E-05
40,5.00E-05
40.5,-0.00014
41,-9.00E-05
41.5,-0.00036
42,-0.00049
42.5,-0.00027
43,-0.00044
43.5,-0.00015
44,-0.00015
44.5,-0.00022
45,-0.00017
45.5,-0.00032
46,-0.00031
46.5,-0.00025
47,0.00011
47.5,0.00036
48,0.00047
48.5,0.00033
49,0.00078
49.5,0.00094
50,0.00085
50.5,0.00105
51,0.00121
51.5,0.00126
52,0.00122
52.5,0.00139
53,0.0015
53.5,0.0021
54,0.00199
54.5,0.00221
55,0.002
55.5,0.00253
56,0.00247
56.5,0.00235
57,0.00298
57.5,0.00286
58,0.00361
58.5,0.00349
59,0.00344
59.5,0.00327
60,0.00331
60.5,0.00362
61,0.00369
61.5,0.00368
62,0.00334
62.5,0.00273
63,0.00243
63.5,0.00227
64,0.00198
64.5,0.00216
65,0.00219
65.5,0.00215
66,0.0021
66.5,0.00178
67,0.00144
67.5,0.00123
68,0.00108
68.5,0.00086
69,0.00129
69.5,0.00145
70,0.00146
70.5,0.00133
71,0.00105
71.5,0.00093
72,0.00061
72.5,0.00067
73,0.00083
73.5,0.00115
74,0.00156
74.5,0.00177
75,0.00146
75.5,0.00148
76,0.00128
76.5,0.00133
77,0.00091
77.5,0.00054
78,0.00027
78.5,0.00015
79,0.00027
79.5,0.00039
80,0.00041
80.5,0.00027
81,-5.00E-05
81.5,-0.00027
82,-2.00E-05
82.5,-0.00013
83,-0.00022
83.5,-0.0004
84,-0.00053
84.5,-0.00047
85,-0.00058
85.5,-0.00038
86,-0.00021
86.5,0.00015
87,-0.00011
87.5,-7.00E-05
88,-4.00E-05
88.5,-0.0004
89,-0.0008
89.5,-0.00105
90,-0.00084
90.5,-0.00045
91,-0.00033
91.5,-0.00031
92,-0.00076
92.5,-0.00069
93,-0.00063
93.5,-0.00076
94,-0.0007
94.5,-0.00093
95,-0.00129
95.5,-0.00123
96,-0.00148
96.5,-0.00134
97,-0.00135
97.5,-0.00171
98,-0.00147
98.5,-0.00142
99,-0.00143
99.5,-0.00139
100,-0.00171
100.5,-0.002
101,-0.00213
101.5,-0.00227
102,-0.00217
102.5,-0.00204
103,-0.00212
103.5,-0.00211
104,-0.00207
104.5,-0.00193
105,-0.00215
105.5,-0.00209
106,-0.00216
106.5,-0.00246
107,-0.00251
107.5,-0.00229
108,-0.00206
108.5,-0.00213
109,-0.00174
109.5,-0.0016
