id,source,source_position_id,company_name,company_logo,position_name,city,education,salary,exceed,experience_requirements,position_requirements,fringe_benefits,type,hot,create_time,poster
1,0,,中信证券,http://cloud.aimscrm.cn/uploads/20180914/4169923377703685ec312e261aa22d81.jpg,投资顾问,北京,本科,8k-10k,超过98%应届毕业生,应届生,"1、已经通过证券从业资格考试；
2、211或985全日制大学本科及以上学历，经济、金融、投资等相关专业毕业；海外留学经历亦可，具有证券、银行、基金、保险等金融行业的工作经历优先，具有投资服务经验及证券投资咨询工作经验优先； 
3、较强的沟通能力，对证券金融市场有深刻的认识；气质形象佳，言行大方得体，具备良好的表达能力和服务意识；
4、过往具备优异证券实战操作业绩、咨询服务业绩及理财产品销售业绩者优先。","1、正式员工编制，享受五险二金；
2、多项福利补贴，包括午餐补贴、通讯补贴、过节费、工会礼品、工会活动等；
3、岗位收入=丰厚职位基薪+绩效工资+产品销售奖金；
4、提供从入职到进阶培训，以及各类专业培训等完整的岗位培训；
5、多轨晋升通道，广阔的职业发展前景。",5,0.0,0,0
2,0,,远洋地产,http://cloud.aimscrm.cn/uploads/20180920/d89d2b8206372f04c55e6b6a5c480f8b.jpg,计划运营,天津,本科,10-12w,超过98%应届毕业生,应届生,"1、土木工程或工程管理相关专业毕业；
2、抗压能力强，具备良好的沟通协调能力。","1、年底双薪+股票期权+绩效奖金+带薪年假+购房津贴;
2、五险一金+补充保险+子女看病报销+定期体检；
3、团建活动丰富、工作氛围自由欢乐；
4、岗位晋升+技能培训机会多；
5、弹性工作+午餐补助+年度旅游。",2,0.0,0,0
17,0,,迅雷,http://cloud.aimscrm.cn/uploads/20180920/2238449beb6a662224858f3b6c548b68.jpg,产品经理,深圳,本科,15-20w,超过98%应届毕业生,应届生,"1、本科及以上学历；对互联网行业有一定了解；
2、极度热爱互联网产品，有梦想有情怀，具有把想法变为现实所需要勇气和耐力；
3、具备出色的创造力、想象力、逻辑思维与系统分析能力，以及优秀的文字功底和沟通能力；
4、有以下经验者优先：开发设计过具有一定影响力的个人产品；全国互联网产品/创业大赛中获奖；在互联网公司有产品策划或运营工作实习经历；在校园里5、有过互联网产品策划经历。","1、固定工资+年度奖金+专项奖金+长期激励+特殊项目奖金；
2、保障福利：五险一金、政府住房补贴、员工及家属商业保险、补充医疗险；
3、愉悦工作：弹性工作制、免费早晚餐、免费零食饮料、公司班车、企业滴滴；
4、健康福利：员工年度体检、孕妈关怀、绿色就医通道、慰问及救助金、员工家属优惠体检、员工心理援助（EAP）、关爱大讲堂、健康咨询；
5、关怀福利：年会、年度旅游、部门团建、俱乐部活动、Family Day、传统节日活动Surprise节日礼包、迅雷文化日、每月生日会、联谊活动、员工生育礼金结婚礼金；
6、假期福利：法定节假日、带薪年假，带薪病假、婚假、产假、陪产假、哺乳假等；
7、学习成长：X-class、X-lab、X-talk。",3,0.0,0,0
3,0,,万科,http://cloud.aimscrm.cn/uploads/20180922/f54c1ae93f8318b06b2591badf4f6cd2.jpg,产品运营,深圳,本科及以上,15-20w,超过98%应届毕业生,应届生,"1、本科及以上学历；
2、具备一定数据分析能力、优秀的沟通表达能力；
3、逻辑性及项目管理能力较强。","1、薪资：固定收入=岗位薪金+住房补贴+双薪+过节费；
2、岗位薪金：公司实行月薪制，岗位薪金是固定收入的主要组成；
3、住房补贴：为职员解决住房问题提供现金支持；
4、双薪：上一年度所在单位经营正常的情况下，每年的1月份发放上一年度的双薪，基数为当月的岗位薪金；
5、过节费：春节、中秋节各发放一次；
6、浮动收入以奖金体现，包括季度奖、年终奖等；
7、免费工作餐，免费班车。",2,0.0,0,0
4,0,,深信服,http://cloud.aimscrm.cn/uploads/20180920/7abe86708b7fccb3745e12bd9e8abdb1.jpg,大数据开发工程师,深圳,本科及以上,17-20w,超过98%应届毕业生,应届生,"1、本科及以上学历，专业不限；
2、熟悉Elasticsearch、MongoDB、Hadoop、Hbase、Spark、Hive、Hdfs等原理及使用；
3、熟悉并掌握一门或多门语言（Python、Java、PHP、GO、C/C++、Shell）的使用；
4、优先条件（其中某项）：
A：有Python、GO Scala经验者优先；
B：熟悉容器平台开发或大数据管理工具平台开发者优先；
C：有Docker、Kubernetes、Cdh、Ambari相关经验者优先。","1、员工俱乐部：为了丰富员工生活，公司成立了足球、篮球、羽毛球、乒乓球、台球、摄影、英语俱乐部以及唱歌比赛等在内的各种活动，总有一项是你喜欢的!
2、悠闲假期,带薪事假（无年休假的同事，每个月有半天带薪事假， 5个工作日以内病假付全薪）、婚假、陪产假和产假、节日长假、年休假、亲子假、父母生日假。
3、豪华旅游，公司每年提供经费，由各部门组织旅游，同行的家属（不止是亲属，确定关系的男女朋友也可以哦~ ）可以按照员工旅游经费的一半给予补贴；驻外同事每年还有机会去海外游。比如：巴厘岛、马尔代夫、加勒比海岸豪华游轮游、非洲、欧洲……
4、研发体系面试评价特别优秀者，可获得SP offer；
5、年薪=工资+奖金（奖金根据绩效情况而定）；
6、深圳总部岗位和北京区域非外派人员（含研发），公司提供福利三餐（平均每天餐补标准近40元）；同时公司每月给予300元交通补贴，按月充入员工工卡；
7、所有餐补、交通补贴、住房补贴都不纳入年薪计算范围内。",4,0.0,0,0
5,0,,深信服,http://cloud.aimscrm.cn/uploads/20180920/7519057edb19773492db1dc44e665753.jpg,软件测试工程师,深圳,本科及以上,17-20w,超过98%应届毕业生,应届生,"1、本科及以上学历，专业不限；
2、熟悉使用并掌握C/C++/Java/Python/Ruby/Shell中的一门或多门语言）；
3、除了开发语言基础，其实我们更看重您得的知识面和动手能力，您或许并非某一方面的专家，但您接触面广，什么都会一些，愿意动手去尝试做不同的东西，这样的您，是我们最欢迎的伙伴。","1、员工俱乐部：为了丰富员工生活，公司成立了足球、篮球、羽毛球、乒乓球、台球、摄影、英语俱乐部以及唱歌比赛等在内的各种活动，总有一项是你喜欢的!
2、悠闲假期,带薪事假（无年休假的同事，每个月有半天带薪事假， 5个工作日以内病假付全薪）、婚假、陪产假和产假、节日长假、年休假、亲子假、父母生日假。
3、豪华旅游，公司每年提供经费，由各部门组织旅游，同行的家属（不止是亲属，确定关系的男女朋友也可以哦~ ）可以按照员工旅游经费的一半给予补贴；驻外同事每年还有机会去海外游。比如：巴厘岛、马尔代夫、加勒比海岸豪华游轮游、非洲、欧洲……
4、研发体系面试评价特别优秀者，可获得SP offer；
5、年薪=工资+奖金（奖金根据绩效情况而定）；
6、深圳总部岗位和北京区域非外派人员（含研发），公司提供福利三餐（平均每天餐补标准近40元）；同时公司每月给予300元交通补贴，按月充入员工工卡；
7、所有餐补、交通补贴、住房补贴都不纳入年薪计算范围内。",1,0.0,0,0
6,0,,腾讯云,http://cloud.aimscrm.cn/uploads/20180920/d291907abb9b7464a59b2af6d52f83bd.jpg,软件开发工程师,深圳,本科及以上,25-30w,超过98%应届毕业生,应届生,"1、编程基本功扎实，精通C/C++/JAVA/GO/PHP等其中一门编程语言，有学习新语言的兴趣；2、熟悉TCP/UDP网络协议及相关编程、进程间通讯编程；
3、全面、扎实的软件知识结构，掌握操作系统、计算机系统结构、设计模式、数据结构、网络安全等专业知识；
4、了解分布式系统设计与开发、负载均衡技术，系统容灾设计，高可用系统等知识；
5、快速学习，不断突破技术瓶颈，乐于探索未知领域，随时准备面对新的挑战；
6、具有以下条件者优先：
1）开源社区的活跃贡献者；
2）具备公有云或企业专有云相关实践经验者。","1、公司提供心理咨询，健康咨询、问诊，健康体检，多种商业保险，出行班车，节日活动、礼品。
2、每年最高15个工作日半薪事假，30工作日全薪病假。
3、丰富的团建活动，多种多样的兴趣爱好协会。
4、安居计划：为员工提供首套房首付免息借款，北上深广最高借款金额为50W，其他城市25W。",1,0.0,0,0
7,0,,腾讯云,http://cloud.aimscrm.cn/uploads/20180920/099f51563bd7b7edbc477b4f517e3f12.jpg,产品经理培训生,深圳,本科及以上,30-35w,超过98%应届毕业生,应届生,"1、对互联网产品极度热爱，怀揣着做出最优秀互联网产品的梦想，具备敏捷的洞察和思维能力，并且有把思考变为现实以不断满足用户需求的勇气和能力；
2、优秀的创造力、想象力、逻辑思维与系统分析能力，突出的文字组织能力和沟通能力同样是我们对你的期待；
3、能够接受一到两年的不同地域的轮岗，有意愿接触多种不同类型的互联网产品；
4、本科及以上学历，有一定的软件开发、软件测试等计算机技能优先。","1、公司提供心理咨询，健康咨询、问诊，健康体检，多种商业保险，出行班车，节日活动、礼品。
2、每年最高15个工作日半薪事假，30工作日全薪病假。
3、丰富的团建活动，多种多样的兴趣爱好协会。
4、安居计划：为员工提供首套房首付免息借款，北上深广最高借款金额为50W，其他城市25W。",6,0.0,0,0
8,0,,阿里云,http://cloud.aimscrm.cn/uploads/20180920/b756e082c13809906ada84442a46c421.jpg,研发工程师C/C++,杭州,本科及以上,30-35w,超过98%应届毕业生,应届生,"1、或许，你来自计算机专业，机械专业，甚至可能是学生物的；
2、但是，你酷爱着计算机以及互联网技术，热衷于解决挑战性的问题；
3、或许，你痴迷于数据结构和算法，热衷于ACM，常常为看到“accept”而兴奋的手足舞蹈；
4、或许，你熟悉Unix/Linux/Win32环境下编程，并有相关开发经验，熟练使用调试工具，并熟悉某种脚本语言；
5、或许，你熟悉网络编程和多线程编程，对TCP/IP，HTTP等网络协议有很深的理解；
6、或许，你享受底层技术，在kernel的源代码中纵横驰骋；
7、或许，你并不熟悉C，C++，但是你不畏挑战，喜欢钻研，能够用你亮眼的成果证明自己超强的学习能力；
8、或许，你参加过大学生数学建模竞赛，“挑战杯”，机器人足球比赛等；
9、或许，你在学校的时候作为骨干参与学生网站的建设和开发；
10、但是，这些都是我们想要的。","1、薪资福利，提供行业富有竞争力的薪资、根据员工的年度绩效，提供不同档次；的年终奖金，优秀员工奖金更丰厚；
2、期权奖励、根据员工的年度绩效，奖励优秀员工绩效股权、年度表现优秀者，还有不同类型的特殊奖励；
3、健康福利，免费健身房、体育馆、理疗室、健康讲座等；
4、工作福利，师兄指导、实习生培养体系、领域牛人分享、ATA技术协会、专题夜校等；
5、公司为员工缴纳养老、医疗、工伤、失业、生育保险，给员工提供??心的社会保障；
6、一年一度的身体健康检查，全面检测大家的身体状况，尽早预防各类健康风险。",1,0.0,0,0
9,0,,广发证券,http://cloud.aimscrm.cn/uploads/20180920/af3196befdb9878c3a8dffdd95e10a8a.jpg,客户经理,北京,大专及以上,12-15w,超过98%应届毕业生,应届生,"1、大专及以上学历，具备证券从业资格证；
2、有证券、保险、银行、期货等金融从业经历者优先；
3、熟悉中国证券市场，有丰富的证券客户资源，熟悉证券渠道销售管理；
4、具备较强的组织、协调管理能力，强烈的市场营销意识，有敢于挑战自我，挑战高薪的能力；
5、有进取心，能承担较大的压力。","1、在国家法定“五险一金”的福利基础上，我们还额外提供丰富、有特色且充满人文关怀的员工福利项目，努力从“衣”“食”“住”“行”“医”等各个方面给予员工更多的保障，让每一位广发人在工作之余，都能充分享受“安心、放心、舒心”的生活；
2、五险一金+补充医疗保险；
3、各大节日福利奖金+带薪年假；
4、员工宿舍+员工津贴+班车+高级工装定制+通讯补贴。",7,0.0,0,0
